timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,24848846,24630306,67,44,2025-04-01 00:00:00,Primordial boots,13239
1743469200,24881649,24617688,68,40,2025-04-01 01:00:00,Primordial boots,13239
1743472800,24873078,24591594,53,58,2025-04-01 02:00:00,Primordial boots,13239
1743476400,24882263,24627880,27,48,2025-04-01 03:00:00,Primordial boots,13239
1743480000,24880353,24631350,34,34,2025-04-01 04:00:00,Primordial boots,13239
1743483600,24842560,24624411,26,17,2025-04-01 05:00:00,Primordial boots,13239
1743487200,24809658,24589322,31,25,2025-04-01 06:00:00,Primordial boots,13239
1743490800,24875783,24613947,25,26,2025-04-01 07:00:00,Primordial boots,13239
1743494400,24867828,24616666,29,18,2025-04-01 08:00:00,Primordial boots,13239
1743498000,24860322,24626884,11,22,2025-04-01 09:00:00,Primordial boots,13239
1743501600,24839028,24602234,15,13,2025-04-01 10:00:00,Primordial boots,13239
1743505200,24885773,24623063,19,15,2025-04-01 11:00:00,Primordial boots,13239
1743508800,24866733,24674834,24,22,2025-04-01 12:00:00,Primordial boots,13239
1743512400,24868559,24661852,17,26,2025-04-01 13:00:00,Primordial boots,13239
1743516000,24830810,24678809,28,33,2025-04-01 14:00:00,Primordial boots,13239
1743519600,24857714,24655431,37,33,2025-04-01 15:00:00,Primordial boots,13239
1743523200,24789832,24632638,42,39,2025-04-01 16:00:00,Primordial boots,13239
1743526800,24863056,24684923,47,33,2025-04-01 17:00:00,Primordial boots,13239
1743530400,25133856,24849817,56,42,2025-04-01 18:00:00,Primordial boots,13239
1743534000,25097901,24832587,49,35,2025-04-01 19:00:00,Primordial boots,13239
1743537600,25096936,24833368,84,72,2025-04-01 20:00:00,Primordial boots,13239
1743541200,25065087,24800881,67,40,2025-04-01 21:00:00,Primordial boots,13239
1743544800,25092618,24834373,55,70,2025-04-01 22:00:00,Primordial boots,13239
1743548400,25077545,24799738,66,69,2025-04-01 23:00:00,Primordial boots,13239
1743552000,25043846,24805281,48,79,2025-04-02 00:00:00,Primordial boots,13239
1743555600,24926229,24670279,66,55,2025-04-02 01:00:00,Primordial boots,13239
1743559200,24893400,24661210,56,62,2025-04-02 02:00:00,Primordial boots,13239
1743562800,24848737,24677265,29,41,2025-04-02 03:00:00,Primordial boots,13239
1743566400,24839333,24624412,48,34,2025-04-02 04:00:00,Primordial boots,13239
1743570000,24872034,24650538,33,41,2025-04-02 05:00:00,Primordial boots,13239
1743573600,24844375,24690545,23,20,2025-04-02 06:00:00,Primordial boots,13239
1743577200,24908537,24685161,18,20,2025-04-02 07:00:00,Primordial boots,13239
1743580800,24799292,24669878,13,27,2025-04-02 08:00:00,Primordial boots,13239
1743584400,24929400,24677542,16,16,2025-04-02 09:00:00,Primordial boots,13239
1743588000,24884986,24735001,12,16,2025-04-02 10:00:00,Primordial boots,13239
1743591600,24894915,24685771,16,21,2025-04-02 11:00:00,Primordial boots,13239
1743595200,24874626,24667388,18,22,2025-04-02 12:00:00,Primordial boots,13239
1743598800,24903742,24730126,17,34,2025-04-02 13:00:00,Primordial boots,13239
1743602400,25027542,24831075,39,37,2025-04-02 14:00:00,Primordial boots,13239
1743606000,25023895,24829487,22,48,2025-04-02 15:00:00,Primordial boots,13239
1743609600,24842797,24584138,37,50,2025-04-02 16:00:00,Primordial boots,13239
1743613200,24829616,24563393,48,38,2025-04-02 17:00:00,Primordial boots,13239
1743616800,24810471,24560152,36,58,2025-04-02 18:00:00,Primordial boots,13239
1743620400,24780452,24528566,89,42,2025-04-02 19:00:00,Primordial boots,13239
1743624000,24797957,24577771,80,64,2025-04-02 20:00:00,Primordial boots,13239
1743627600,24792076,24517412,48,67,2025-04-02 21:00:00,Primordial boots,13239
1743631200,24768702,24528734,63,62,2025-04-02 22:00:00,Primordial boots,13239
1743634800,24790687,24572000,45,51,2025-04-02 23:00:00,Primordial boots,13239
1743638400,24780412,24524860,59,57,2025-04-03 00:00:00,Primordial boots,13239
1743642000,24816638,24543863,48,65,2025-04-03 01:00:00,Primordial boots,13239
1743645600,24815665,24588099,63,41,2025-04-03 02:00:00,Primordial boots,13239
1743649200,24805544,24548130,69,61,2025-04-03 03:00:00,Primordial boots,13239
1743652800,24827491,24590384,57,52,2025-04-03 04:00:00,Primordial boots,13239
1743656400,24806517,24545631,34,36,2025-04-03 05:00:00,Primordial boots,13239
1743660000,24806950,24533889,33,30,2025-04-03 06:00:00,Primordial boots,13239
1743663600,24771049,24514389,23,15,2025-04-03 07:00:00,Primordial boots,13239
1743667200,24798804,24489092,19,13,2025-04-03 08:00:00,Primordial boots,13239
1743670800,24726443,24493198,12,25,2025-04-03 09:00:00,Primordial boots,13239
1743674400,24713870,24485785,24,23,2025-04-03 10:00:00,Primordial boots,13239
1743678000,24693673,24472212,8,21,2025-04-03 11:00:00,Primordial boots,13239
1743681600,24724369,24453716,39,30,2025-04-03 12:00:00,Primordial boots,13239
1743685200,24777318,24518167,40,32,2025-04-03 13:00:00,Primordial boots,13239
1743688800,24780288,24512498,38,32,2025-04-03 14:00:00,Primordial boots,13239
1743692400,24704837,24455338,46,44,2025-04-03 15:00:00,Primordial boots,13239
1743696000,24724819,24482600,47,49,2025-04-03 16:00:00,Primordial boots,13239
1743699600,24715048,24516107,72,61,2025-04-03 17:00:00,Primordial boots,13239
1743703200,24730974,24541500,55,50,2025-04-03 18:00:00,Primordial boots,13239
1743706800,24720510,24515350,77,50,2025-04-03 19:00:00,Primordial boots,13239
1743710400,24710735,24491280,71,64,2025-04-03 20:00:00,Primordial boots,13239
