timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,687.0,685,30436,97687,2025-04-01 00:00:00,Raw shark,383
1743469200,689.0,677,50563,296102,2025-04-01 01:00:00,Raw shark,383
1743472800,686.0,676,65355,50529,2025-04-01 02:00:00,Raw shark,383
1743476400,685.0,682,59222,120215,2025-04-01 03:00:00,Raw shark,383
1743480000,685.0,676,59887,96507,2025-04-01 04:00:00,Raw shark,383
1743483600,686.0,678,40769,50906,2025-04-01 05:00:00,Raw shark,383
1743487200,685.0,679,8976,29023,2025-04-01 06:00:00,Raw shark,383
1743490800,689.0,687,9256,47073,2025-04-01 07:00:00,Raw shark,383
1743494400,687.0,693,11457,53390,2025-04-01 08:00:00,Raw shark,383
1743498000,692.0,688,16041,65496,2025-04-01 09:00:00,Raw shark,383
1743501600,692.0,687,15731,54231,2025-04-01 10:00:00,Raw shark,383
1743505200,690.0,685,47387,65769,2025-04-01 11:00:00,Raw shark,383
1743508800,697.0,690,38633,79127,2025-04-01 12:00:00,Raw shark,383
1743512400,690.0,689,39549,43208,2025-04-01 13:00:00,Raw shark,383
1743516000,700.0,694,23084,88896,2025-04-01 14:00:00,Raw shark,383
1743519600,687.0,686,7421,36995,2025-04-01 15:00:00,Raw shark,383
1743523200,690.0,690,81516,81121,2025-04-01 16:00:00,Raw shark,383
1743526800,695.0,692,40546,60854,2025-04-01 17:00:00,Raw shark,383
1743530400,687.0,685,133177,74831,2025-04-01 18:00:00,Raw shark,383
1743534000,691.0,689,42599,116280,2025-04-01 19:00:00,Raw shark,383
1743537600,700.0,696,43623,91281,2025-04-01 20:00:00,Raw shark,383
1743541200,694.0,690,146422,45591,2025-04-01 21:00:00,Raw shark,383
1743544800,697.0,690,23999,121781,2025-04-01 22:00:00,Raw shark,383
1743548400,699.0,691,40463,54618,2025-04-01 23:00:00,Raw shark,383
1743552000,699.0,692,59517,102098,2025-04-02 00:00:00,Raw shark,383
1743555600,689.0,689,23255,109155,2025-04-02 01:00:00,Raw shark,383
1743559200,685.0,685,54461,123225,2025-04-02 02:00:00,Raw shark,383
1743562800,686.0,679,88332,145385,2025-04-02 03:00:00,Raw shark,383
1743566400,688.0,684,56227,90604,2025-04-02 04:00:00,Raw shark,383
1743570000,702.0,693,6063,85448,2025-04-02 05:00:00,Raw shark,383
1743573600,689.0,689,26624,47907,2025-04-02 06:00:00,Raw shark,383
1743577200,693.0,695,39591,83369,2025-04-02 07:00:00,Raw shark,383
1743580800,691.0,689,50687,38844,2025-04-02 08:00:00,Raw shark,383
1743584400,690.0,689,25086,49600,2025-04-02 09:00:00,Raw shark,383
1743588000,699.0,693,62242,63944,2025-04-02 10:00:00,Raw shark,383
1743591600,688.0,685,44324,162082,2025-04-02 11:00:00,Raw shark,383
1743595200,691.0,685,44005,51388,2025-04-02 12:00:00,Raw shark,383
1743598800,700.0,687,60183,56271,2025-04-02 13:00:00,Raw shark,383
1743602400,707.0,693,65465,73883,2025-04-02 14:00:00,Raw shark,383
1743606000,709.0,701,20494,74434,2025-04-02 15:00:00,Raw shark,383
1743609600,710.0,701,16280,90867,2025-04-02 16:00:00,Raw shark,383
1743613200,707.0,702,6918,57168,2025-04-02 17:00:00,Raw shark,383
1743616800,714.0,700,28579,92667,2025-04-02 18:00:00,Raw shark,383
1743620400,705.0,700,79734,70630,2025-04-02 19:00:00,Raw shark,383
1743624000,711.0,700,34890,131346,2025-04-02 20:00:00,Raw shark,383
1743627600,705.0,698,78428,92589,2025-04-02 21:00:00,Raw shark,383
1743631200,693.0,691,133742,124356,2025-04-02 22:00:00,Raw shark,383
1743634800,697.0,689,38756,94055,2025-04-02 23:00:00,Raw shark,383
1743638400,692.0,693,54648,219007,2025-04-03 00:00:00,Raw shark,383
1743642000,706.0,692,108191,93150,2025-04-03 01:00:00,Raw shark,383
1743645600,693.0,686,58528,156666,2025-04-03 02:00:00,Raw shark,383
1743649200,691.0,682,27261,277122,2025-04-03 03:00:00,Raw shark,383
1743652800,688.0,683,52075,79063,2025-04-03 04:00:00,Raw shark,383
1743656400,692.0,682,50108,85654,2025-04-03 05:00:00,Raw shark,383
1743660000,692.0,688,52810,45004,2025-04-03 06:00:00,Raw shark,383
1743663600,697.0,691,13817,74460,2025-04-03 07:00:00,Raw shark,383
1743667200,692.0,698,3157,56898,2025-04-03 08:00:00,Raw shark,383
1743670800,698.0,696,12812,97122,2025-04-03 09:00:00,Raw shark,383
1743674400,696.0,693,29709,58313,2025-04-03 10:00:00,Raw shark,383
1743678000,700.0,693,22586,75009,2025-04-03 11:00:00,Raw shark,383
1743681600,698.0,696,16293,33272,2025-04-03 12:00:00,Raw shark,383
1743685200,691.0,694,9992,67600,2025-04-03 13:00:00,Raw shark,383
1743688800,708.0,692,40167,39134,2025-04-03 14:00:00,Raw shark,383
1743692400,700.0,691,77172,90319,2025-04-03 15:00:00,Raw shark,383
1743696000,702.0,692,27063,58433,2025-04-03 16:00:00,Raw shark,383
1743699600,697.0,695,55916,77488,2025-04-03 17:00:00,Raw shark,383
1743703200,705.0,700,29245,52215,2025-04-03 18:00:00,Raw shark,383
1743706800,711.0,704,88163,99476,2025-04-03 19:00:00,Raw shark,383
1743710400,701.0,703,30421,114163,2025-04-03 20:00:00,Raw shark,383
1743714000,696.0,692,59028,74407,2025-04-03 21:00:00,Raw shark,383
1743717600,696.0,690,32476,84615,2025-04-03 22:00:00,Raw shark,383
1743721200,696.0,695,11236,144105,2025-04-03 23:00:00,Raw shark,383
1743724800,696.0,690,60065,121328,2025-04-04 00:00:00,Raw shark,383
1743728400,689.0,684,86889,110684,2025-04-04 01:00:00,Raw shark,383
1743732000,688.0,682,106390,171227,2025-04-04 02:00:00,Raw shark,383
1743735600,691.0,682,30079,102848,2025-04-04 03:00:00,Raw shark,383
1743739200,689.0,681,112671,92523,2025-04-04 04:00:00,Raw shark,383
1743742800,690.0,682,35402,49164,2025-04-04 05:00:00,Raw shark,383
1743746400,693.0,685,48269,52632,2025-04-04 06:00:00,Raw shark,383
1743750000,694.0,686,27363,77136,2025-04-04 07:00:00,Raw shark,383
1743753600,694.0,685,9339,63416,2025-04-04 08:00:00,Raw shark,383
1743757200,690.0,682,60562,40477,2025-04-04 09:00:00,Raw shark,383
1743760800,690.0,684,32583,113176,2025-04-04 10:00:00,Raw shark,383
1743764400,686.0,681,8314,101534,2025-04-04 11:00:00,Raw shark,383
1743768000,688.0,679,42125,52659,2025-04-04 12:00:00,Raw shark,383
1743771600,688.0,683,46786,91495,2025-04-04 13:00:00,Raw shark,383
1743775200,693.0,688,56878,87120,2025-04-04 14:00:00,Raw shark,383
1743778800,691.0,686,39282,92572,2025-04-04 15:00:00,Raw shark,383
1743782400,691.0,684,29536,44504,2025-04-04 16:00:00,Raw shark,383
1743786000,692.0,685,66614,71944,2025-04-04 17:00:00,Raw shark,383
1743789600,693.0,689,34051,52316,2025-04-04 18:00:00,Raw shark,383
1743793200,691.0,684,66773,96655,2025-04-04 19:00:00,Raw shark,383
1743796800,690.0,686,39887,58822,2025-04-04 20:00:00,Raw shark,383
1743800400,692.0,683,27302,77805,2025-04-04 21:00:00,Raw shark,383
1743804000,690.0,687,27953,59525,2025-04-04 22:00:00,Raw shark,383
1743807600,691.0,679,51978,445425,2025-04-04 23:00:00,Raw shark,383
1743811200,692.0,688,83337,81611,2025-04-05 00:00:00,Raw shark,383
1743814800,692.0,685,61607,105385,2025-04-05 01:00:00,Raw shark,383
1743818400,689.0,680,126300,127668,2025-04-05 02:00:00,Raw shark,383
1743822000,688.0,681,155603,117207,2025-04-05 03:00:00,Raw shark,383
1743825600,689.0,688,68656,130528,2025-04-05 04:00:00,Raw shark,383
1743829200,689.0,680,33521,94403,2025-04-05 05:00:00,Raw shark,383
1743832800,690.0,687,50585,90058,2025-04-05 06:00:00,Raw shark,383
1743836400,688.0,686,36438,80023,2025-04-05 07:00:00,Raw shark,383
1743840000,690.0,682,92278,71441,2025-04-05 08:00:00,Raw shark,383
1743843600,684.0,681,34776,68107,2025-04-05 09:00:00,Raw shark,383
1743847200,686.0,681,21442,67739,2025-04-05 10:00:00,Raw shark,383
1743850800,692.0,687,70012,84382,2025-04-05 11:00:00,Raw shark,383
1743854400,684.0,679,155417,44676,2025-04-05 12:00:00,Raw shark,383
1743858000,678.0,675,232559,72236,2025-04-05 13:00:00,Raw shark,383
1743861600,681.0,676,29134,128135,2025-04-05 14:00:00,Raw shark,383
1743865200,683.0,676,40369,69442,2025-04-05 15:00:00,Raw shark,383
