timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3235.0,,4125,0,2025-04-01 00:00:00,Redwood pyre logs,19672
1743469200,3200.0,3141.0,1005,1398,2025-04-01 01:00:00,Redwood pyre logs,19672
1743472800,3095.0,3064.0,4658,1938,2025-04-01 02:00:00,Redwood pyre logs,19672
1743476400,3239.0,,1743,0,2025-04-01 03:00:00,Redwood pyre logs,19672
1743480000,3273.0,3008.0,1079,1320,2025-04-01 04:00:00,Redwood pyre logs,19672
1743483600,3259.0,3018.0,1229,240,2025-04-01 05:00:00,Redwood pyre logs,19672
1743487200,3218.0,3215.0,420,2,2025-04-01 06:00:00,Redwood pyre logs,19672
1743490800,3253.0,3015.0,4009,213,2025-04-01 07:00:00,Redwood pyre logs,19672
1743494400,,3031.0,0,1972,2025-04-01 08:00:00,Redwood pyre logs,19672
1743498000,3247.0,3059.0,215,235,2025-04-01 09:00:00,Redwood pyre logs,19672
1743501600,3201.0,3077.0,247,76,2025-04-01 10:00:00,Redwood pyre logs,19672
1743505200,3202.0,3159.0,720,1010,2025-04-01 11:00:00,Redwood pyre logs,19672
1743508800,3158.0,3090.0,274,76,2025-04-01 12:00:00,Redwood pyre logs,19672
1743512400,3273.0,,11561,0,2025-04-01 13:00:00,Redwood pyre logs,19672
1743516000,3271.0,3071.0,5145,571,2025-04-01 14:00:00,Redwood pyre logs,19672
1743519600,3267.0,3197.0,12744,4618,2025-04-01 15:00:00,Redwood pyre logs,19672
1743523200,3200.0,3155.0,273,1,2025-04-01 16:00:00,Redwood pyre logs,19672
1743526800,3199.0,3155.0,427,1660,2025-04-01 17:00:00,Redwood pyre logs,19672
1743530400,3194.0,3155.0,3188,3348,2025-04-01 18:00:00,Redwood pyre logs,19672
1743534000,3179.0,3184.0,31739,3115,2025-04-01 19:00:00,Redwood pyre logs,19672
1743537600,3177.0,3159.0,4232,1079,2025-04-01 20:00:00,Redwood pyre logs,19672
1743541200,3177.0,3155.0,1510,463,2025-04-01 21:00:00,Redwood pyre logs,19672
1743544800,3177.0,3155.0,2837,1555,2025-04-01 22:00:00,Redwood pyre logs,19672
1743548400,3177.0,3063.0,4309,143,2025-04-01 23:00:00,Redwood pyre logs,19672
1743552000,3177.0,3100.0,4663,381,2025-04-02 00:00:00,Redwood pyre logs,19672
1743555600,3174.0,3100.0,817,639,2025-04-02 01:00:00,Redwood pyre logs,19672
1743559200,3155.0,3123.0,500,48,2025-04-02 02:00:00,Redwood pyre logs,19672
1743562800,3175.0,3155.0,276,105,2025-04-02 03:00:00,Redwood pyre logs,19672
1743566400,3175.0,3160.0,9,348,2025-04-02 04:00:00,Redwood pyre logs,19672
1743570000,3171.0,3155.0,2204,7925,2025-04-02 05:00:00,Redwood pyre logs,19672
1743573600,3171.0,,3304,0,2025-04-02 06:00:00,Redwood pyre logs,19672
1743577200,3160.0,3155.0,1004,222,2025-04-02 07:00:00,Redwood pyre logs,19672
1743580800,3160.0,,2,0,2025-04-02 08:00:00,Redwood pyre logs,19672
1743584400,3160.0,3100.0,303,1,2025-04-02 09:00:00,Redwood pyre logs,19672
1743588000,3160.0,3100.0,1201,1005,2025-04-02 10:00:00,Redwood pyre logs,19672
1743591600,3160.0,3101.0,13100,2102,2025-04-02 11:00:00,Redwood pyre logs,19672
1743595200,3160.0,,200,0,2025-04-02 12:00:00,Redwood pyre logs,19672
