timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,22921366,22728940.0,13,22,2025-04-01 00:00:00,Ring of suffering,19550
1743469200,22976814,22728339.0,37,26,2025-04-01 01:00:00,Ring of suffering,19550
1743472800,23056150,22813330.0,20,23,2025-04-01 02:00:00,Ring of suffering,19550
1743476400,23105305,22872954.0,21,15,2025-04-01 03:00:00,Ring of suffering,19550
1743480000,23024798,22789182.0,20,13,2025-04-01 04:00:00,Ring of suffering,19550
1743483600,23215056,22974841.0,16,8,2025-04-01 05:00:00,Ring of suffering,19550
1743487200,23159409,22903982.0,13,11,2025-04-01 06:00:00,Ring of suffering,19550
1743490800,23134298,22803177.0,12,14,2025-04-01 07:00:00,Ring of suffering,19550
1743494400,23114805,22863553.0,10,15,2025-04-01 08:00:00,Ring of suffering,19550
1743498000,23118551,22893339.0,12,11,2025-04-01 09:00:00,Ring of suffering,19550
1743501600,23050165,22819246.0,10,10,2025-04-01 10:00:00,Ring of suffering,19550
1743505200,23012020,22852388.0,5,7,2025-04-01 11:00:00,Ring of suffering,19550
1743508800,22970699,22768098.0,11,4,2025-04-01 12:00:00,Ring of suffering,19550
1743512400,23089745,22816880.0,15,6,2025-04-01 13:00:00,Ring of suffering,19550
1743516000,23035931,22818935.0,6,15,2025-04-01 14:00:00,Ring of suffering,19550
1743519600,23002945,22772982.0,16,14,2025-04-01 15:00:00,Ring of suffering,19550
1743523200,22983052,22757057.0,17,14,2025-04-01 16:00:00,Ring of suffering,19550
1743526800,22984677,22825387.0,21,17,2025-04-01 17:00:00,Ring of suffering,19550
1743530400,23082263,22851654.0,27,20,2025-04-01 18:00:00,Ring of suffering,19550
1743534000,23142296,22892535.0,13,16,2025-04-01 19:00:00,Ring of suffering,19550
1743537600,23036054,22835356.0,20,19,2025-04-01 20:00:00,Ring of suffering,19550
1743541200,23078556,22835846.0,26,18,2025-04-01 21:00:00,Ring of suffering,19550
1743544800,23011955,22788554.0,29,25,2025-04-01 22:00:00,Ring of suffering,19550
1743548400,23163698,22907835.0,21,25,2025-04-01 23:00:00,Ring of suffering,19550
1743552000,23096842,22915246.0,21,23,2025-04-02 00:00:00,Ring of suffering,19550
1743555600,23328225,23085736.0,33,21,2025-04-02 01:00:00,Ring of suffering,19550
1743559200,23141245,22921295.0,27,21,2025-04-02 02:00:00,Ring of suffering,19550
1743562800,23073070,22873029.0,17,13,2025-04-02 03:00:00,Ring of suffering,19550
1743566400,23185658,22898343.0,26,15,2025-04-02 04:00:00,Ring of suffering,19550
1743570000,22958167,22761670.0,4,8,2025-04-02 05:00:00,Ring of suffering,19550
1743573600,23155951,22916341.0,11,13,2025-04-02 06:00:00,Ring of suffering,19550
1743577200,23189337,22881432.0,14,10,2025-04-02 07:00:00,Ring of suffering,19550
1743580800,23361561,23036425.0,9,6,2025-04-02 08:00:00,Ring of suffering,19550
1743584400,23318999,23001643.0,12,14,2025-04-02 09:00:00,Ring of suffering,19550
1743588000,23280127,22982616.0,4,7,2025-04-02 10:00:00,Ring of suffering,19550
1743591600,23043806,22912923.0,14,8,2025-04-02 11:00:00,Ring of suffering,19550
1743595200,23044922,22854593.0,18,14,2025-04-02 12:00:00,Ring of suffering,19550
1743598800,23108703,22918261.0,18,18,2025-04-02 13:00:00,Ring of suffering,19550
1743602400,23135087,22959415.0,22,10,2025-04-02 14:00:00,Ring of suffering,19550
1743606000,23221230,23006885.0,17,19,2025-04-02 15:00:00,Ring of suffering,19550
1743609600,23379960,23087775.0,10,16,2025-04-02 16:00:00,Ring of suffering,19550
1743613200,23313593,23064208.0,28,27,2025-04-02 17:00:00,Ring of suffering,19550
1743616800,23236900,22961153.0,21,20,2025-04-02 18:00:00,Ring of suffering,19550
1743620400,23140595,22990385.0,15,23,2025-04-02 19:00:00,Ring of suffering,19550
1743624000,23116245,22935745.0,30,26,2025-04-02 20:00:00,Ring of suffering,19550
1743627600,23044728,22892729.0,25,18,2025-04-02 21:00:00,Ring of suffering,19550
