timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,12174.0,11849,2147,3056,2025-04-01 00:00:00,Ring of wealth,2572
1743469200,12565.0,12129,2736,2828,2025-04-01 01:00:00,Ring of wealth,2572
1743472800,12661.0,12407,1571,5043,2025-04-01 02:00:00,Ring of wealth,2572
1743476400,12317.0,12043,21,3702,2025-04-01 03:00:00,Ring of wealth,2572
1743480000,11934.0,11997,123,2258,2025-04-01 04:00:00,Ring of wealth,2572
1743483600,12155.0,12044,252,3134,2025-04-01 05:00:00,Ring of wealth,2572
1743487200,11914.0,11936,16,2388,2025-04-01 06:00:00,Ring of wealth,2572
1743490800,11854.0,11923,3762,2409,2025-04-01 07:00:00,Ring of wealth,2572
1743494400,12040.0,12170,620,2072,2025-04-01 08:00:00,Ring of wealth,2572
1743498000,12532.0,12455,4,2547,2025-04-01 09:00:00,Ring of wealth,2572
1743501600,12092.0,12027,61,3914,2025-04-01 10:00:00,Ring of wealth,2572
1743505200,12082.0,12031,205,4039,2025-04-01 11:00:00,Ring of wealth,2572
1743508800,12189.0,12083,1191,3134,2025-04-01 12:00:00,Ring of wealth,2572
1743512400,12116.0,12068,311,3071,2025-04-01 13:00:00,Ring of wealth,2572
1743516000,12370.0,12112,2001,3147,2025-04-01 14:00:00,Ring of wealth,2572
1743519600,12222.0,12168,50,3539,2025-04-01 15:00:00,Ring of wealth,2572
1743523200,12201.0,12156,85,3153,2025-04-01 16:00:00,Ring of wealth,2572
1743526800,12264.0,12082,1074,4195,2025-04-01 17:00:00,Ring of wealth,2572
1743530400,12205.0,12203,83,6651,2025-04-01 18:00:00,Ring of wealth,2572
1743534000,12026.0,12021,157,5091,2025-04-01 19:00:00,Ring of wealth,2572
1743537600,11968.0,12017,758,6925,2025-04-01 20:00:00,Ring of wealth,2572
1743541200,12006.0,12000,27,2851,2025-04-01 21:00:00,Ring of wealth,2572
1743544800,11966.0,11937,661,2114,2025-04-01 22:00:00,Ring of wealth,2572
1743548400,11965.0,11969,489,3775,2025-04-01 23:00:00,Ring of wealth,2572
1743552000,12135.0,11953,1434,3289,2025-04-02 00:00:00,Ring of wealth,2572
1743555600,12123.0,12085,1161,4647,2025-04-02 01:00:00,Ring of wealth,2572
1743559200,12240.0,12234,324,4701,2025-04-02 02:00:00,Ring of wealth,2572
1743562800,12235.0,12249,75,5194,2025-04-02 03:00:00,Ring of wealth,2572
1743566400,12288.0,12280,108,4842,2025-04-02 04:00:00,Ring of wealth,2572
1743570000,12338.0,12271,237,1694,2025-04-02 05:00:00,Ring of wealth,2572
1743573600,12260.0,12261,165,1461,2025-04-02 06:00:00,Ring of wealth,2572
1743577200,12348.0,12318,2757,4608,2025-04-02 07:00:00,Ring of wealth,2572
1743580800,12349.0,12321,771,1493,2025-04-02 08:00:00,Ring of wealth,2572
1743584400,12350.0,12318,893,3959,2025-04-02 09:00:00,Ring of wealth,2572
1743588000,12302.0,12300,41,578,2025-04-02 10:00:00,Ring of wealth,2572
1743591600,12392.0,12301,262,2122,2025-04-02 11:00:00,Ring of wealth,2572
1743595200,12264.0,12273,10,3141,2025-04-02 12:00:00,Ring of wealth,2572
1743598800,12287.0,12289,154,1653,2025-04-02 13:00:00,Ring of wealth,2572
1743602400,12330.0,12275,674,5453,2025-04-02 14:00:00,Ring of wealth,2572
1743606000,12277.0,12331,58,6452,2025-04-02 15:00:00,Ring of wealth,2572
1743609600,12183.0,12346,566,4634,2025-04-02 16:00:00,Ring of wealth,2572
1743613200,12187.0,12160,66,3630,2025-04-02 17:00:00,Ring of wealth,2572
1743616800,12142.0,12008,686,3258,2025-04-02 18:00:00,Ring of wealth,2572
1743620400,12157.0,12119,109,3073,2025-04-02 19:00:00,Ring of wealth,2572
1743624000,12111.0,12095,5,1880,2025-04-02 20:00:00,Ring of wealth,2572
1743627600,12045.0,12011,830,930,2025-04-02 21:00:00,Ring of wealth,2572
1743631200,12159.0,12001,307,4269,2025-04-02 22:00:00,Ring of wealth,2572
1743634800,12156.0,12010,127,4220,2025-04-02 23:00:00,Ring of wealth,2572
1743638400,12022.0,12009,3,2478,2025-04-03 00:00:00,Ring of wealth,2572
