timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,10276.0,10242,6514,35462,2025-04-01 00:00:00,Runite ore,451
1743469200,10264.0,10134,13902,25162,2025-04-01 01:00:00,Runite ore,451
1743472800,10262.0,10201,21558,55638,2025-04-01 02:00:00,Runite ore,451
1743476400,10265.0,10201,10308,26618,2025-04-01 03:00:00,Runite ore,451
1743480000,10240.0,10150,18642,27499,2025-04-01 04:00:00,Runite ore,451
1743483600,10214.0,10154,6233,23460,2025-04-01 05:00:00,Runite ore,451
1743487200,10278.0,10228,6473,26750,2025-04-01 06:00:00,Runite ore,451
1743490800,10286.0,10173,3996,46598,2025-04-01 07:00:00,Runite ore,451
1743494400,10252.0,10167,1443,14862,2025-04-01 08:00:00,Runite ore,451
1743498000,10279.0,10204,5283,20974,2025-04-01 09:00:00,Runite ore,451
1743501600,10231.0,10192,1895,18450,2025-04-01 10:00:00,Runite ore,451
1743505200,10269.0,10229,3841,41900,2025-04-01 11:00:00,Runite ore,451
1743508800,10247.0,10177,7095,13111,2025-04-01 12:00:00,Runite ore,451
1743512400,10216.0,10190,7509,20695,2025-04-01 13:00:00,Runite ore,451
1743516000,10244.0,10234,2270,29243,2025-04-01 14:00:00,Runite ore,451
1743519600,10226.0,10212,9373,29701,2025-04-01 15:00:00,Runite ore,451
1743523200,10226.0,10223,6805,22778,2025-04-01 16:00:00,Runite ore,451
1743526800,10258.0,10232,13564,25712,2025-04-01 17:00:00,Runite ore,451
1743530400,10224.0,10214,9143,20411,2025-04-01 18:00:00,Runite ore,451
1743534000,10252.0,10238,5974,35122,2025-04-01 19:00:00,Runite ore,451
1743537600,10291.0,10264,8145,28792,2025-04-01 20:00:00,Runite ore,451
1743541200,10230.0,10247,7183,31207,2025-04-01 21:00:00,Runite ore,451
1743544800,10232.0,10256,2941,45621,2025-04-01 22:00:00,Runite ore,451
1743548400,10288.0,10257,7709,32829,2025-04-01 23:00:00,Runite ore,451
1743552000,10295.0,10244,12557,30327,2025-04-02 00:00:00,Runite ore,451
1743555600,10274.0,10277,5605,40347,2025-04-02 01:00:00,Runite ore,451
1743559200,10338.0,10198,14769,29564,2025-04-02 02:00:00,Runite ore,451
1743562800,10246.0,10195,9777,60528,2025-04-02 03:00:00,Runite ore,451
1743566400,10261.0,10243,4090,25795,2025-04-02 04:00:00,Runite ore,451
1743570000,10303.0,10243,5771,18001,2025-04-02 05:00:00,Runite ore,451
1743573600,10255.0,10236,5107,35911,2025-04-02 06:00:00,Runite ore,451
1743577200,10243.0,10221,10156,18098,2025-04-02 07:00:00,Runite ore,451
1743580800,10225.0,10215,2862,12962,2025-04-02 08:00:00,Runite ore,451
1743584400,10256.0,10208,3060,20612,2025-04-02 09:00:00,Runite ore,451
1743588000,10226.0,10249,1368,22670,2025-04-02 10:00:00,Runite ore,451
1743591600,10226.0,10248,1012,34377,2025-04-02 11:00:00,Runite ore,451
1743595200,10301.0,10255,8791,20477,2025-04-02 12:00:00,Runite ore,451
1743598800,10227.0,10228,6102,22817,2025-04-02 13:00:00,Runite ore,451
1743602400,10311.0,10262,7889,38146,2025-04-02 14:00:00,Runite ore,451
1743606000,10238.0,10240,19057,25417,2025-04-02 15:00:00,Runite ore,451
1743609600,10256.0,10289,2309,40220,2025-04-02 16:00:00,Runite ore,451
1743613200,10245.0,10235,14282,22326,2025-04-02 17:00:00,Runite ore,451
1743616800,10200.0,10240,11950,27827,2025-04-02 18:00:00,Runite ore,451
1743620400,10200.0,10169,26691,21521,2025-04-02 19:00:00,Runite ore,451
1743624000,10211.0,10134,7980,20865,2025-04-02 20:00:00,Runite ore,451
1743627600,10237.0,10222,11287,37661,2025-04-02 21:00:00,Runite ore,451
1743631200,10296.0,10258,8002,37252,2025-04-02 22:00:00,Runite ore,451
1743634800,10390.0,10313,2691,45730,2025-04-02 23:00:00,Runite ore,451
1743638400,10359.0,10281,12208,43285,2025-04-03 00:00:00,Runite ore,451
1743642000,10319.0,10257,15601,28295,2025-04-03 01:00:00,Runite ore,451
1743645600,10275.0,10251,8781,40384,2025-04-03 02:00:00,Runite ore,451
1743649200,10238.0,10172,5274,48253,2025-04-03 03:00:00,Runite ore,451
1743652800,10300.0,10186,11662,16372,2025-04-03 04:00:00,Runite ore,451
1743656400,10255.0,10201,5683,17757,2025-04-03 05:00:00,Runite ore,451
1743660000,10360.0,10257,3220,30183,2025-04-03 06:00:00,Runite ore,451
1743663600,10262.0,10229,9920,16631,2025-04-03 07:00:00,Runite ore,451
1743667200,10236.0,10207,3519,16044,2025-04-03 08:00:00,Runite ore,451
1743670800,10247.0,10217,8709,11367,2025-04-03 09:00:00,Runite ore,451
1743674400,10243.0,10238,7243,23981,2025-04-03 10:00:00,Runite ore,451
1743678000,10252.0,10261,4772,31066,2025-04-03 11:00:00,Runite ore,451
