timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,64621197,64185040.0,31,42,2025-04-01 00:00:00,Sanguinesti staff (uncharged),22481
1743469200,64659952,63933766.0,39,25,2025-04-01 01:00:00,Sanguinesti staff (uncharged),22481
1743472800,64508443,63928547.0,31,23,2025-04-01 02:00:00,Sanguinesti staff (uncharged),22481
1743476400,64604880,64210222.0,17,28,2025-04-01 03:00:00,Sanguinesti staff (uncharged),22481
1743480000,64928569,64260075.0,19,25,2025-04-01 04:00:00,Sanguinesti staff (uncharged),22481
1743483600,64349630,64015164.0,13,7,2025-04-01 05:00:00,Sanguinesti staff (uncharged),22481
1743487200,64560946,64085632.0,9,14,2025-04-01 06:00:00,Sanguinesti staff (uncharged),22481
1743490800,64725623,64045111.0,6,12,2025-04-01 07:00:00,Sanguinesti staff (uncharged),22481
1743494400,64839605,64286669.0,8,7,2025-04-01 08:00:00,Sanguinesti staff (uncharged),22481
1743498000,64893366,64364513.0,7,7,2025-04-01 09:00:00,Sanguinesti staff (uncharged),22481
1743501600,64913040,64173152.0,9,15,2025-04-01 10:00:00,Sanguinesti staff (uncharged),22481
1743505200,64842977,64185165.0,1,20,2025-04-01 11:00:00,Sanguinesti staff (uncharged),22481
1743508800,64725899,64275203.0,9,14,2025-04-01 12:00:00,Sanguinesti staff (uncharged),22481
1743512400,64441044,63983814.0,17,13,2025-04-01 13:00:00,Sanguinesti staff (uncharged),22481
1743516000,64321376,63815091.0,14,21,2025-04-01 14:00:00,Sanguinesti staff (uncharged),22481
1743519600,64208370,63483155.0,36,15,2025-04-01 15:00:00,Sanguinesti staff (uncharged),22481
1743523200,64290350,63630199.0,19,27,2025-04-01 16:00:00,Sanguinesti staff (uncharged),22481
1743526800,64076379,63422737.0,17,10,2025-04-01 17:00:00,Sanguinesti staff (uncharged),22481
1743530400,64334703,63593041.0,26,33,2025-04-01 18:00:00,Sanguinesti staff (uncharged),22481
1743534000,64654394,63901170.0,29,29,2025-04-01 19:00:00,Sanguinesti staff (uncharged),22481
1743537600,64538276,63965199.0,39,36,2025-04-01 20:00:00,Sanguinesti staff (uncharged),22481
1743541200,64393415,63789113.0,31,21,2025-04-01 21:00:00,Sanguinesti staff (uncharged),22481
1743544800,64573328,63990628.0,39,33,2025-04-01 22:00:00,Sanguinesti staff (uncharged),22481
1743548400,64507842,63895459.0,25,33,2025-04-01 23:00:00,Sanguinesti staff (uncharged),22481
1743552000,64488975,63977018.0,37,21,2025-04-02 00:00:00,Sanguinesti staff (uncharged),22481
1743555600,64541639,63854676.0,38,38,2025-04-02 01:00:00,Sanguinesti staff (uncharged),22481
1743559200,64539451,64037339.0,31,26,2025-04-02 02:00:00,Sanguinesti staff (uncharged),22481
1743562800,64480884,63877120.0,35,21,2025-04-02 03:00:00,Sanguinesti staff (uncharged),22481
1743566400,64495234,63928362.0,30,27,2025-04-02 04:00:00,Sanguinesti staff (uncharged),22481
1743570000,64547983,63897312.0,22,17,2025-04-02 05:00:00,Sanguinesti staff (uncharged),22481
1743573600,64321739,63897007.0,20,18,2025-04-02 06:00:00,Sanguinesti staff (uncharged),22481
1743577200,64671125,64108130.0,7,7,2025-04-02 07:00:00,Sanguinesti staff (uncharged),22481
1743580800,64570562,63872281.0,14,8,2025-04-02 08:00:00,Sanguinesti staff (uncharged),22481
1743584400,64485778,63890032.0,12,12,2025-04-02 09:00:00,Sanguinesti staff (uncharged),22481
1743588000,64593668,63838025.0,6,7,2025-04-02 10:00:00,Sanguinesti staff (uncharged),22481
1743591600,64470727,63830679.0,14,8,2025-04-02 11:00:00,Sanguinesti staff (uncharged),22481
1743595200,64541514,63865823.0,13,9,2025-04-02 12:00:00,Sanguinesti staff (uncharged),22481
1743598800,64508395,63660991.0,14,21,2025-04-02 13:00:00,Sanguinesti staff (uncharged),22481
1743602400,64177747,63701565.0,14,10,2025-04-02 14:00:00,Sanguinesti staff (uncharged),22481
1743606000,64136731,63655929.0,14,14,2025-04-02 15:00:00,Sanguinesti staff (uncharged),22481
1743609600,63875958,63406478.0,23,27,2025-04-02 16:00:00,Sanguinesti staff (uncharged),22481
1743613200,63817293,63125516.0,23,29,2025-04-02 17:00:00,Sanguinesti staff (uncharged),22481
1743616800,63753502,63146447.0,22,30,2025-04-02 18:00:00,Sanguinesti staff (uncharged),22481
1743620400,63835886,63199509.0,34,28,2025-04-02 19:00:00,Sanguinesti staff (uncharged),22481
1743624000,63742378,63097699.0,25,15,2025-04-02 20:00:00,Sanguinesti staff (uncharged),22481
1743627600,63679917,63028542.0,27,21,2025-04-02 21:00:00,Sanguinesti staff (uncharged),22481
1743631200,63418206,62998539.0,23,17,2025-04-02 22:00:00,Sanguinesti staff (uncharged),22481
1743634800,63606817,62916266.0,30,23,2025-04-02 23:00:00,Sanguinesti staff (uncharged),22481
1743638400,63756337,63027767.0,35,28,2025-04-03 00:00:00,Sanguinesti staff (uncharged),22481
1743642000,63357468,62965754.0,27,34,2025-04-03 01:00:00,Sanguinesti staff (uncharged),22481
1743645600,63411912,62742383.0,24,28,2025-04-03 02:00:00,Sanguinesti staff (uncharged),22481
1743649200,63236261,62534604.0,29,29,2025-04-03 03:00:00,Sanguinesti staff (uncharged),22481
1743652800,63271012,62612749.0,16,35,2025-04-03 04:00:00,Sanguinesti staff (uncharged),22481
1743656400,63181875,62618746.0,17,19,2025-04-03 05:00:00,Sanguinesti staff (uncharged),22481
1743660000,63075304,62460445.0,11,16,2025-04-03 06:00:00,Sanguinesti staff (uncharged),22481
1743663600,63046952,62529122.0,12,12,2025-04-03 07:00:00,Sanguinesti staff (uncharged),22481
1743667200,63022832,62399579.0,12,13,2025-04-03 08:00:00,Sanguinesti staff (uncharged),22481
1743670800,63100800,62478449.0,10,14,2025-04-03 09:00:00,Sanguinesti staff (uncharged),22481
1743674400,62827227,62315234.0,7,14,2025-04-03 10:00:00,Sanguinesti staff (uncharged),22481
1743678000,62929839,62211599.0,13,9,2025-04-03 11:00:00,Sanguinesti staff (uncharged),22481
1743681600,62858338,62201977.0,11,9,2025-04-03 12:00:00,Sanguinesti staff (uncharged),22481
1743685200,62701472,62127433.0,9,23,2025-04-03 13:00:00,Sanguinesti staff (uncharged),22481
1743688800,62725866,61972832.0,25,17,2025-04-03 14:00:00,Sanguinesti staff (uncharged),22481
1743692400,62570918,62146806.0,16,19,2025-04-03 15:00:00,Sanguinesti staff (uncharged),22481
1743696000,62405848,61784619.0,29,32,2025-04-03 16:00:00,Sanguinesti staff (uncharged),22481
1743699600,62130782,61319274.0,15,35,2025-04-03 17:00:00,Sanguinesti staff (uncharged),22481
1743703200,61819912,60999517.0,28,34,2025-04-03 18:00:00,Sanguinesti staff (uncharged),22481
1743706800,61682266,61001014.0,18,26,2025-04-03 19:00:00,Sanguinesti staff (uncharged),22481
1743710400,61559734,60812525.0,31,35,2025-04-03 20:00:00,Sanguinesti staff (uncharged),22481
1743714000,61466342,60819580.0,27,21,2025-04-03 21:00:00,Sanguinesti staff (uncharged),22481
