timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,35245894,34737118,27,22,2025-04-01 00:00:00,Saradomin godsword,11806
1743469200,34853715,34576291,22,19,2025-04-01 01:00:00,Saradomin godsword,11806
1743472800,34962646,34601990,27,22,2025-04-01 02:00:00,Saradomin godsword,11806
1743476400,34856133,34504177,16,11,2025-04-01 03:00:00,Saradomin godsword,11806
1743480000,34772233,34580246,9,30,2025-04-01 04:00:00,Saradomin godsword,11806
1743483600,34722258,34450374,16,9,2025-04-01 05:00:00,Saradomin godsword,11806
1743487200,34720188,34350946,3,11,2025-04-01 06:00:00,Saradomin godsword,11806
1743490800,34757401,34357702,6,7,2025-04-01 07:00:00,Saradomin godsword,11806
1743494400,34839340,34480412,7,11,2025-04-01 08:00:00,Saradomin godsword,11806
1743498000,34588718,34314491,7,9,2025-04-01 09:00:00,Saradomin godsword,11806
1743501600,34621657,34222287,10,9,2025-04-01 10:00:00,Saradomin godsword,11806
1743505200,34654021,34265228,5,8,2025-04-01 11:00:00,Saradomin godsword,11806
1743508800,34582548,34274709,15,5,2025-04-01 12:00:00,Saradomin godsword,11806
1743512400,34749417,34567346,11,12,2025-04-01 13:00:00,Saradomin godsword,11806
1743516000,34708605,34463496,16,20,2025-04-01 14:00:00,Saradomin godsword,11806
1743519600,34692979,34329100,16,20,2025-04-01 15:00:00,Saradomin godsword,11806
1743523200,34586695,34286637,12,17,2025-04-01 16:00:00,Saradomin godsword,11806
1743526800,34624317,34228703,22,21,2025-04-01 17:00:00,Saradomin godsword,11806
1743530400,34603232,34160268,27,19,2025-04-01 18:00:00,Saradomin godsword,11806
1743534000,34613656,34232018,44,23,2025-04-01 19:00:00,Saradomin godsword,11806
1743537600,34502555,34195939,20,32,2025-04-01 20:00:00,Saradomin godsword,11806
1743541200,34397655,34162016,18,19,2025-04-01 21:00:00,Saradomin godsword,11806
1743544800,34496718,34095331,25,20,2025-04-01 22:00:00,Saradomin godsword,11806
1743548400,34523295,34201206,26,21,2025-04-01 23:00:00,Saradomin godsword,11806
1743552000,34672156,34298671,30,19,2025-04-02 00:00:00,Saradomin godsword,11806
1743555600,34510757,34192050,20,25,2025-04-02 01:00:00,Saradomin godsword,11806
1743559200,34450955,34136315,21,26,2025-04-02 02:00:00,Saradomin godsword,11806
1743562800,34591498,34244945,12,17,2025-04-02 03:00:00,Saradomin godsword,11806
1743566400,34593993,34261213,19,10,2025-04-02 04:00:00,Saradomin godsword,11806
1743570000,34643402,34235976,17,12,2025-04-02 05:00:00,Saradomin godsword,11806
1743573600,34546161,34213238,8,13,2025-04-02 06:00:00,Saradomin godsword,11806
1743577200,34603106,34232882,13,8,2025-04-02 07:00:00,Saradomin godsword,11806
1743580800,34626870,34272596,11,5,2025-04-02 08:00:00,Saradomin godsword,11806
1743584400,34538300,34225676,9,7,2025-04-02 09:00:00,Saradomin godsword,11806
1743588000,34600463,34197553,7,8,2025-04-02 10:00:00,Saradomin godsword,11806
1743591600,34598857,34206201,17,3,2025-04-02 11:00:00,Saradomin godsword,11806
1743595200,34652096,34207995,18,13,2025-04-02 12:00:00,Saradomin godsword,11806
1743598800,34581658,34456167,8,11,2025-04-02 13:00:00,Saradomin godsword,11806
1743602400,34664188,34421595,12,14,2025-04-02 14:00:00,Saradomin godsword,11806
1743606000,34672377,34458607,23,20,2025-04-02 15:00:00,Saradomin godsword,11806
1743609600,34763000,34449694,21,15,2025-04-02 16:00:00,Saradomin godsword,11806
1743613200,34545701,34336804,18,34,2025-04-02 17:00:00,Saradomin godsword,11806
1743616800,34472394,34276860,12,14,2025-04-02 18:00:00,Saradomin godsword,11806
1743620400,34581041,34233576,18,28,2025-04-02 19:00:00,Saradomin godsword,11806
1743624000,34595280,34359691,24,23,2025-04-02 20:00:00,Saradomin godsword,11806
1743627600,34485491,34233209,33,20,2025-04-02 21:00:00,Saradomin godsword,11806
1743631200,34443427,34079793,25,30,2025-04-02 22:00:00,Saradomin godsword,11806
1743634800,34428779,34059238,20,14,2025-04-02 23:00:00,Saradomin godsword,11806
1743638400,34343026,34070275,26,24,2025-04-03 00:00:00,Saradomin godsword,11806
1743642000,34352824,33974759,37,30,2025-04-03 01:00:00,Saradomin godsword,11806
1743645600,34343409,33967120,33,21,2025-04-03 02:00:00,Saradomin godsword,11806
1743649200,34365004,34014682,18,35,2025-04-03 03:00:00,Saradomin godsword,11806
1743652800,34420331,34206052,17,14,2025-04-03 04:00:00,Saradomin godsword,11806
1743656400,34311463,33976779,11,14,2025-04-03 05:00:00,Saradomin godsword,11806
1743660000,34380905,33914485,10,7,2025-04-03 06:00:00,Saradomin godsword,11806
