timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,5086284,5028724,50,39,2025-04-01 00:00:00,Serpentine helm (uncharged),12929
1743469200,5070259,5018577,28,34,2025-04-01 01:00:00,Serpentine helm (uncharged),12929
1743472800,5088169,5023765,26,38,2025-04-01 02:00:00,Serpentine helm (uncharged),12929
1743476400,5099795,5028321,19,26,2025-04-01 03:00:00,Serpentine helm (uncharged),12929
1743480000,5058590,5000794,41,36,2025-04-01 04:00:00,Serpentine helm (uncharged),12929
1743483600,4904408,4919315,18,33,2025-04-01 05:00:00,Serpentine helm (uncharged),12929
1743487200,4921122,4835694,22,26,2025-04-01 06:00:00,Serpentine helm (uncharged),12929
1743490800,4986983,4941433,6,19,2025-04-01 07:00:00,Serpentine helm (uncharged),12929
1743494400,5064230,5001339,11,19,2025-04-01 08:00:00,Serpentine helm (uncharged),12929
1743498000,5055195,4995772,11,13,2025-04-01 09:00:00,Serpentine helm (uncharged),12929
1743501600,5053549,5000672,11,12,2025-04-01 10:00:00,Serpentine helm (uncharged),12929
1743505200,5074132,5011965,26,14,2025-04-01 11:00:00,Serpentine helm (uncharged),12929
1743508800,5095794,5033490,16,25,2025-04-01 12:00:00,Serpentine helm (uncharged),12929
1743512400,5046196,5018979,15,11,2025-04-01 13:00:00,Serpentine helm (uncharged),12929
1743516000,5025293,4991097,46,28,2025-04-01 14:00:00,Serpentine helm (uncharged),12929
1743519600,5022641,4971366,15,27,2025-04-01 15:00:00,Serpentine helm (uncharged),12929
1743523200,5006619,4963843,24,28,2025-04-01 16:00:00,Serpentine helm (uncharged),12929
1743526800,5015572,4958379,34,38,2025-04-01 17:00:00,Serpentine helm (uncharged),12929
1743530400,5038192,4989731,41,41,2025-04-01 18:00:00,Serpentine helm (uncharged),12929
1743534000,5085817,5030940,29,39,2025-04-01 19:00:00,Serpentine helm (uncharged),12929
1743537600,5022914,4970170,48,45,2025-04-01 20:00:00,Serpentine helm (uncharged),12929
1743541200,5024940,4971770,40,35,2025-04-01 21:00:00,Serpentine helm (uncharged),12929
1743544800,5036621,4974866,27,37,2025-04-01 22:00:00,Serpentine helm (uncharged),12929
1743548400,5056366,5002217,33,26,2025-04-01 23:00:00,Serpentine helm (uncharged),12929
1743552000,5102304,5035199,57,39,2025-04-02 00:00:00,Serpentine helm (uncharged),12929
1743555600,5073271,5021774,41,45,2025-04-02 01:00:00,Serpentine helm (uncharged),12929
1743559200,5022292,4959578,58,42,2025-04-02 02:00:00,Serpentine helm (uncharged),12929
1743562800,5015971,4957980,27,35,2025-04-02 03:00:00,Serpentine helm (uncharged),12929
1743566400,5014214,4972206,14,35,2025-04-02 04:00:00,Serpentine helm (uncharged),12929
1743570000,5038674,4973236,28,25,2025-04-02 05:00:00,Serpentine helm (uncharged),12929
1743573600,5037389,4973357,18,17,2025-04-02 06:00:00,Serpentine helm (uncharged),12929
1743577200,5047726,4998564,25,20,2025-04-02 07:00:00,Serpentine helm (uncharged),12929
1743580800,5034412,4976294,15,9,2025-04-02 08:00:00,Serpentine helm (uncharged),12929
1743584400,5093646,5030737,13,16,2025-04-02 09:00:00,Serpentine helm (uncharged),12929
1743588000,5144581,5081707,1,14,2025-04-02 10:00:00,Serpentine helm (uncharged),12929
1743591600,5144355,5077018,36,13,2025-04-02 11:00:00,Serpentine helm (uncharged),12929
1743595200,5168578,5074401,27,26,2025-04-02 12:00:00,Serpentine helm (uncharged),12929
1743598800,5154321,5083211,28,19,2025-04-02 13:00:00,Serpentine helm (uncharged),12929
1743602400,5135843,5080975,29,26,2025-04-02 14:00:00,Serpentine helm (uncharged),12929
1743606000,5123795,5051279,46,40,2025-04-02 15:00:00,Serpentine helm (uncharged),12929
1743609600,5125549,5064160,40,34,2025-04-02 16:00:00,Serpentine helm (uncharged),12929
1743613200,5120965,5058988,31,33,2025-04-02 17:00:00,Serpentine helm (uncharged),12929
1743616800,5109345,5041573,32,38,2025-04-02 18:00:00,Serpentine helm (uncharged),12929
1743620400,5098984,5038170,44,35,2025-04-02 19:00:00,Serpentine helm (uncharged),12929
1743624000,5104259,5038571,50,44,2025-04-02 20:00:00,Serpentine helm (uncharged),12929
1743627600,5085802,5028528,47,55,2025-04-02 21:00:00,Serpentine helm (uncharged),12929
1743631200,5073778,5027542,57,36,2025-04-02 22:00:00,Serpentine helm (uncharged),12929
1743634800,5049261,4979954,47,31,2025-04-02 23:00:00,Serpentine helm (uncharged),12929
1743638400,5017979,4963092,48,50,2025-04-03 00:00:00,Serpentine helm (uncharged),12929
1743642000,5040486,4990527,30,28,2025-04-03 01:00:00,Serpentine helm (uncharged),12929
1743645600,5169211,5075815,61,38,2025-04-03 02:00:00,Serpentine helm (uncharged),12929
1743649200,5140759,5070321,47,37,2025-04-03 03:00:00,Serpentine helm (uncharged),12929
1743652800,5126533,5046391,22,34,2025-04-03 04:00:00,Serpentine helm (uncharged),12929
1743656400,5103832,5026456,27,32,2025-04-03 05:00:00,Serpentine helm (uncharged),12929
1743660000,5072907,4997099,38,64,2025-04-03 06:00:00,Serpentine helm (uncharged),12929
1743663600,5069971,4996667,20,16,2025-04-03 07:00:00,Serpentine helm (uncharged),12929
1743667200,5032405,4972573,20,17,2025-04-03 08:00:00,Serpentine helm (uncharged),12929
1743670800,5043291,4980856,19,17,2025-04-03 09:00:00,Serpentine helm (uncharged),12929
1743674400,5032005,4989679,18,15,2025-04-03 10:00:00,Serpentine helm (uncharged),12929
1743678000,5031466,4981243,17,26,2025-04-03 11:00:00,Serpentine helm (uncharged),12929
1743681600,5028707,4958366,20,17,2025-04-03 12:00:00,Serpentine helm (uncharged),12929
1743685200,5020858,4968799,8,15,2025-04-03 13:00:00,Serpentine helm (uncharged),12929
