timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1500271,1475566,26,49,2025-04-01 00:00:00,Spiked manacles,23389
1743469200,1476979,1442137,19,42,2025-04-01 01:00:00,Spiked manacles,23389
1743472800,1470139,1499903,18,29,2025-04-01 02:00:00,Spiked manacles,23389
1743476400,1499277,1463407,32,38,2025-04-01 03:00:00,Spiked manacles,23389
1743480000,1471310,1440126,31,30,2025-04-01 04:00:00,Spiked manacles,23389
1743483600,1480397,1444812,14,24,2025-04-01 05:00:00,Spiked manacles,23389
1743487200,1474491,1441316,37,51,2025-04-01 06:00:00,Spiked manacles,23389
1743490800,1467182,1439925,37,23,2025-04-01 07:00:00,Spiked manacles,23389
1743494400,1486265,1450275,20,21,2025-04-01 08:00:00,Spiked manacles,23389
1743498000,1468735,1446982,11,17,2025-04-01 09:00:00,Spiked manacles,23389
1743501600,1474124,1447406,28,19,2025-04-01 10:00:00,Spiked manacles,23389
1743505200,1494941,1467594,5,19,2025-04-01 11:00:00,Spiked manacles,23389
1743508800,1485848,1463986,31,19,2025-04-01 12:00:00,Spiked manacles,23389
1743512400,1513580,1482308,20,13,2025-04-01 13:00:00,Spiked manacles,23389
1743516000,1513436,1478054,36,57,2025-04-01 14:00:00,Spiked manacles,23389
1743519600,1484577,1443210,27,47,2025-04-01 15:00:00,Spiked manacles,23389
1743523200,1515954,1499340,19,30,2025-04-01 16:00:00,Spiked manacles,23389
1743526800,1525974,1460134,41,69,2025-04-01 17:00:00,Spiked manacles,23389
1743530400,1495458,1467555,52,20,2025-04-01 18:00:00,Spiked manacles,23389
1743534000,1491176,1460711,30,35,2025-04-01 19:00:00,Spiked manacles,23389
1743537600,1521379,1503079,59,40,2025-04-01 20:00:00,Spiked manacles,23389
1743541200,1584644,1561141,30,43,2025-04-01 21:00:00,Spiked manacles,23389
1743544800,1564693,1547691,13,54,2025-04-01 22:00:00,Spiked manacles,23389
1743548400,1508550,1480281,26,44,2025-04-01 23:00:00,Spiked manacles,23389
1743552000,1547054,1558956,23,32,2025-04-02 00:00:00,Spiked manacles,23389
1743555600,1620815,1562391,26,57,2025-04-02 01:00:00,Spiked manacles,23389
1743559200,1513036,1497938,54,57,2025-04-02 02:00:00,Spiked manacles,23389
1743562800,1495285,1469234,36,18,2025-04-02 03:00:00,Spiked manacles,23389
1743566400,1482724,1442517,26,44,2025-04-02 04:00:00,Spiked manacles,23389
1743570000,1501695,1471240,20,35,2025-04-02 05:00:00,Spiked manacles,23389
