timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,6947,6830.0,24086,14179,2025-04-01 00:00:00,Stamina potion(4),12625
1743469200,6925,6841.0,23901,10664,2025-04-01 01:00:00,Stamina potion(4),12625
1743472800,6851,6745.0,19254,17287,2025-04-01 02:00:00,Stamina potion(4),12625
1743476400,6883,6771.0,12876,8588,2025-04-01 03:00:00,Stamina potion(4),12625
1743480000,6973,6886.0,15120,3979,2025-04-01 04:00:00,Stamina potion(4),12625
1743483600,7010,6895.0,10987,9055,2025-04-01 05:00:00,Stamina potion(4),12625
1743487200,7120,7053.0,3991,2482,2025-04-01 06:00:00,Stamina potion(4),12625
1743490800,7115,6962.0,7317,17657,2025-04-01 07:00:00,Stamina potion(4),12625
1743494400,7100,6997.0,7135,8853,2025-04-01 08:00:00,Stamina potion(4),12625
1743498000,7138,7052.0,3797,1814,2025-04-01 09:00:00,Stamina potion(4),12625
1743501600,7145,7047.0,7783,6187,2025-04-01 10:00:00,Stamina potion(4),12625
1743505200,7136,7047.0,6064,7925,2025-04-01 11:00:00,Stamina potion(4),12625
1743508800,7138,7035.0,9108,5573,2025-04-01 12:00:00,Stamina potion(4),12625
1743512400,7117,7030.0,17489,6200,2025-04-01 13:00:00,Stamina potion(4),12625
1743516000,7079,6990.0,26366,10621,2025-04-01 14:00:00,Stamina potion(4),12625
1743519600,7046,6973.0,24863,7287,2025-04-01 15:00:00,Stamina potion(4),12625
1743523200,7035,7003.0,12660,5061,2025-04-01 16:00:00,Stamina potion(4),12625
1743526800,6995,6863.0,17199,19826,2025-04-01 17:00:00,Stamina potion(4),12625
1743530400,6976,6902.0,29458,8020,2025-04-01 18:00:00,Stamina potion(4),12625
1743534000,6958,6888.0,25615,7104,2025-04-01 19:00:00,Stamina potion(4),12625
1743537600,6982,6878.0,17573,16117,2025-04-01 20:00:00,Stamina potion(4),12625
1743541200,6965,6869.0,18565,9685,2025-04-01 21:00:00,Stamina potion(4),12625
1743544800,6972,6912.0,25482,2535,2025-04-01 22:00:00,Stamina potion(4),12625
1743548400,6983,6861.0,25013,10577,2025-04-01 23:00:00,Stamina potion(4),12625
1743552000,7000,6906.0,17292,2563,2025-04-02 00:00:00,Stamina potion(4),12625
1743555600,6975,6844.0,8246,10630,2025-04-02 01:00:00,Stamina potion(4),12625
1743559200,6975,6881.0,20976,10392,2025-04-02 02:00:00,Stamina potion(4),12625
1743562800,7001,6918.0,15888,4396,2025-04-02 03:00:00,Stamina potion(4),12625
1743566400,6979,6907.0,12832,3694,2025-04-02 04:00:00,Stamina potion(4),12625
1743570000,6965,6835.0,4606,14812,2025-04-02 05:00:00,Stamina potion(4),12625
1743573600,7001,6906.0,2387,3377,2025-04-02 06:00:00,Stamina potion(4),12625
1743577200,6901,6833.0,16188,5211,2025-04-02 07:00:00,Stamina potion(4),12625
1743580800,6654,6628.0,5945,1116,2025-04-02 08:00:00,Stamina potion(4),12625
1743584400,6410,6498.0,13864,4490,2025-04-02 09:00:00,Stamina potion(4),12625
1743588000,6687,6573.0,9358,5128,2025-04-02 10:00:00,Stamina potion(4),12625
1743591600,6694,6655.0,9216,1632,2025-04-02 11:00:00,Stamina potion(4),12625
1743595200,6882,6824.0,13359,3459,2025-04-02 12:00:00,Stamina potion(4),12625
1743598800,6949,6818.0,13464,1687,2025-04-02 13:00:00,Stamina potion(4),12625
1743602400,6940,6845.0,19812,8047,2025-04-02 14:00:00,Stamina potion(4),12625
1743606000,6943,6829.0,13718,11467,2025-04-02 15:00:00,Stamina potion(4),12625
1743609600,6915,6792.0,17736,18468,2025-04-02 16:00:00,Stamina potion(4),12625
1743613200,6882,6805.0,18823,13031,2025-04-02 17:00:00,Stamina potion(4),12625
1743616800,6803,6721.0,23256,12276,2025-04-02 18:00:00,Stamina potion(4),12625
1743620400,6819,6698.0,8164,4907,2025-04-02 19:00:00,Stamina potion(4),12625
1743624000,6797,6748.0,22094,14727,2025-04-02 20:00:00,Stamina potion(4),12625
1743627600,6907,6831.0,14612,9310,2025-04-02 21:00:00,Stamina potion(4),12625
1743631200,6922,6829.0,21679,4817,2025-04-02 22:00:00,Stamina potion(4),12625
1743634800,6914,6808.0,13970,6262,2025-04-02 23:00:00,Stamina potion(4),12625
1743638400,6875,6766.0,11077,11704,2025-04-03 00:00:00,Stamina potion(4),12625
1743642000,6886,6762.0,14058,19356,2025-04-03 01:00:00,Stamina potion(4),12625
1743645600,6911,6763.0,9880,9236,2025-04-03 02:00:00,Stamina potion(4),12625
1743649200,6927,6767.0,22445,3011,2025-04-03 03:00:00,Stamina potion(4),12625
1743652800,6922,6823.0,9030,4455,2025-04-03 04:00:00,Stamina potion(4),12625
1743656400,6876,6817.0,5313,9439,2025-04-03 05:00:00,Stamina potion(4),12625
1743660000,6942,6864.0,6866,3901,2025-04-03 06:00:00,Stamina potion(4),12625
1743663600,6895,6793.0,7836,4136,2025-04-03 07:00:00,Stamina potion(4),12625
1743667200,6883,6767.0,14345,2953,2025-04-03 08:00:00,Stamina potion(4),12625
1743670800,6916,6843.0,10415,1385,2025-04-03 09:00:00,Stamina potion(4),12625
