timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,512,511,318808,103230,2025-04-01 00:00:00,Sunfire splinters,28924
1743469200,515,514,335029,221775,2025-04-01 01:00:00,Sunfire splinters,28924
1743472800,510,508,91337,201016,2025-04-01 02:00:00,Sunfire splinters,28924
1743476400,509,505,181118,165275,2025-04-01 03:00:00,Sunfire splinters,28924
1743480000,512,506,143726,121737,2025-04-01 04:00:00,Sunfire splinters,28924
1743483600,522,515,84753,66101,2025-04-01 05:00:00,Sunfire splinters,28924
1743487200,525,516,162330,154485,2025-04-01 06:00:00,Sunfire splinters,28924
1743490800,522,514,169795,107714,2025-04-01 07:00:00,Sunfire splinters,28924
1743494400,520,515,67598,130216,2025-04-01 08:00:00,Sunfire splinters,28924
1743498000,524,514,98093,101158,2025-04-01 09:00:00,Sunfire splinters,28924
1743501600,520,514,121329,83797,2025-04-01 10:00:00,Sunfire splinters,28924
1743505200,521,514,188639,191846,2025-04-01 11:00:00,Sunfire splinters,28924
1743508800,516,514,158708,157054,2025-04-01 12:00:00,Sunfire splinters,28924
1743512400,515,512,148117,97291,2025-04-01 13:00:00,Sunfire splinters,28924
1743516000,513,507,128490,205159,2025-04-01 14:00:00,Sunfire splinters,28924
1743519600,513,507,144163,104406,2025-04-01 15:00:00,Sunfire splinters,28924
1743523200,515,509,152326,375423,2025-04-01 16:00:00,Sunfire splinters,28924
1743526800,516,507,110268,278472,2025-04-01 17:00:00,Sunfire splinters,28924
1743530400,518,510,438150,202519,2025-04-01 18:00:00,Sunfire splinters,28924
1743534000,514,508,254307,307313,2025-04-01 19:00:00,Sunfire splinters,28924
1743537600,518,511,408268,168159,2025-04-01 20:00:00,Sunfire splinters,28924
1743541200,517,509,463606,556784,2025-04-01 21:00:00,Sunfire splinters,28924
1743544800,519,510,268240,294691,2025-04-01 22:00:00,Sunfire splinters,28924
1743548400,517,509,342978,350840,2025-04-01 23:00:00,Sunfire splinters,28924
1743552000,520,508,206502,192175,2025-04-02 00:00:00,Sunfire splinters,28924
1743555600,518,510,209526,563908,2025-04-02 01:00:00,Sunfire splinters,28924
1743559200,516,511,206212,210675,2025-04-02 02:00:00,Sunfire splinters,28924
1743562800,524,516,137247,229253,2025-04-02 03:00:00,Sunfire splinters,28924
1743566400,519,513,300391,145602,2025-04-02 04:00:00,Sunfire splinters,28924
1743570000,513,507,89434,262686,2025-04-02 05:00:00,Sunfire splinters,28924
1743573600,512,510,54577,110492,2025-04-02 06:00:00,Sunfire splinters,28924
1743577200,509,507,121825,100456,2025-04-02 07:00:00,Sunfire splinters,28924
1743580800,515,509,140350,177498,2025-04-02 08:00:00,Sunfire splinters,28924
1743584400,514,511,155126,63525,2025-04-02 09:00:00,Sunfire splinters,28924
1743588000,515,510,27555,159354,2025-04-02 10:00:00,Sunfire splinters,28924
1743591600,510,508,3344,454281,2025-04-02 11:00:00,Sunfire splinters,28924
1743595200,517,509,63806,150136,2025-04-02 12:00:00,Sunfire splinters,28924
1743598800,512,510,379882,109466,2025-04-02 13:00:00,Sunfire splinters,28924
1743602400,515,512,183672,85217,2025-04-02 14:00:00,Sunfire splinters,28924
1743606000,518,512,47687,205400,2025-04-02 15:00:00,Sunfire splinters,28924
1743609600,514,509,174757,276563,2025-04-02 16:00:00,Sunfire splinters,28924
1743613200,514,510,187111,257866,2025-04-02 17:00:00,Sunfire splinters,28924
1743616800,508,507,166356,323861,2025-04-02 18:00:00,Sunfire splinters,28924
1743620400,514,510,332838,334103,2025-04-02 19:00:00,Sunfire splinters,28924
1743624000,513,509,175882,210645,2025-04-02 20:00:00,Sunfire splinters,28924
1743627600,510,507,440414,463134,2025-04-02 21:00:00,Sunfire splinters,28924
1743631200,515,508,203359,434794,2025-04-02 22:00:00,Sunfire splinters,28924
1743634800,514,508,278535,314047,2025-04-02 23:00:00,Sunfire splinters,28924
1743638400,515,508,164793,230400,2025-04-03 00:00:00,Sunfire splinters,28924
1743642000,514,510,125530,93932,2025-04-03 01:00:00,Sunfire splinters,28924
1743645600,517,513,57247,250104,2025-04-03 02:00:00,Sunfire splinters,28924
1743649200,517,511,244581,86071,2025-04-03 03:00:00,Sunfire splinters,28924
1743652800,514,513,348594,173556,2025-04-03 04:00:00,Sunfire splinters,28924
1743656400,519,513,79022,79064,2025-04-03 05:00:00,Sunfire splinters,28924
1743660000,513,511,111299,149014,2025-04-03 06:00:00,Sunfire splinters,28924
1743663600,513,517,24255,65396,2025-04-03 07:00:00,Sunfire splinters,28924
1743667200,518,510,232798,177465,2025-04-03 08:00:00,Sunfire splinters,28924
1743670800,518,512,125081,99830,2025-04-03 09:00:00,Sunfire splinters,28924
1743674400,515,511,183861,56856,2025-04-03 10:00:00,Sunfire splinters,28924
1743678000,520,511,386734,71171,2025-04-03 11:00:00,Sunfire splinters,28924
1743681600,519,515,121983,187284,2025-04-03 12:00:00,Sunfire splinters,28924
1743685200,515,511,170580,145650,2025-04-03 13:00:00,Sunfire splinters,28924
1743688800,513,510,34975,175217,2025-04-03 14:00:00,Sunfire splinters,28924
1743692400,520,515,345099,426374,2025-04-03 15:00:00,Sunfire splinters,28924
1743696000,519,511,236682,487740,2025-04-03 16:00:00,Sunfire splinters,28924
