timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,14286,14013,27082,29764,2025-04-01 00:00:00,Super combat potion(4),12695
1743469200,14179,14019,16317,15946,2025-04-01 01:00:00,Super combat potion(4),12695
1743472800,14195,14088,26357,6933,2025-04-01 02:00:00,Super combat potion(4),12695
1743476400,14360,14119,12500,3543,2025-04-01 03:00:00,Super combat potion(4),12695
1743480000,14250,14182,10485,1548,2025-04-01 04:00:00,Super combat potion(4),12695
1743483600,14289,14162,6305,3754,2025-04-01 05:00:00,Super combat potion(4),12695
1743487200,14275,14125,13207,4487,2025-04-01 06:00:00,Super combat potion(4),12695
1743490800,14331,14293,4336,2440,2025-04-01 07:00:00,Super combat potion(4),12695
1743494400,14383,14299,8329,4017,2025-04-01 08:00:00,Super combat potion(4),12695
1743498000,14292,14150,13477,7106,2025-04-01 09:00:00,Super combat potion(4),12695
1743501600,14189,14123,24531,4864,2025-04-01 10:00:00,Super combat potion(4),12695
1743505200,14170,13965,11439,7809,2025-04-01 11:00:00,Super combat potion(4),12695
1743508800,14163,14033,11399,4996,2025-04-01 12:00:00,Super combat potion(4),12695
1743512400,14154,13971,16061,10221,2025-04-01 13:00:00,Super combat potion(4),12695
1743516000,14042,13944,18755,12137,2025-04-01 14:00:00,Super combat potion(4),12695
1743519600,14015,13897,24905,4974,2025-04-01 15:00:00,Super combat potion(4),12695
1743523200,14044,13947,15526,1931,2025-04-01 16:00:00,Super combat potion(4),12695
1743526800,14111,14065,6145,2653,2025-04-01 17:00:00,Super combat potion(4),12695
1743530400,14241,14040,23160,6221,2025-04-01 18:00:00,Super combat potion(4),12695
1743534000,14262,14173,23367,2001,2025-04-01 19:00:00,Super combat potion(4),12695
1743537600,14227,14050,27997,8912,2025-04-01 20:00:00,Super combat potion(4),12695
1743541200,13960,13685,42716,24796,2025-04-01 21:00:00,Super combat potion(4),12695
1743544800,14098,13899,26129,10634,2025-04-01 22:00:00,Super combat potion(4),12695
1743548400,14086,13894,10842,16818,2025-04-01 23:00:00,Super combat potion(4),12695
1743552000,14036,13918,19810,3995,2025-04-02 00:00:00,Super combat potion(4),12695
1743555600,14098,13942,30962,8254,2025-04-02 01:00:00,Super combat potion(4),12695
1743559200,14193,14026,13396,2272,2025-04-02 02:00:00,Super combat potion(4),12695
1743562800,14114,13982,8846,4660,2025-04-02 03:00:00,Super combat potion(4),12695
1743566400,14140,13836,7383,23693,2025-04-02 04:00:00,Super combat potion(4),12695
1743570000,14140,14018,15016,9674,2025-04-02 05:00:00,Super combat potion(4),12695
1743573600,14081,13921,15651,3527,2025-04-02 06:00:00,Super combat potion(4),12695
1743577200,14194,14037,16044,1451,2025-04-02 07:00:00,Super combat potion(4),12695
1743580800,14214,14099,6071,665,2025-04-02 08:00:00,Super combat potion(4),12695
1743584400,14261,14033,1890,10322,2025-04-02 09:00:00,Super combat potion(4),12695
1743588000,13986,13983,3781,1052,2025-04-02 10:00:00,Super combat potion(4),12695
1743591600,14232,14017,4976,5658,2025-04-02 11:00:00,Super combat potion(4),12695
1743595200,14182,14004,7629,7589,2025-04-02 12:00:00,Super combat potion(4),12695
1743598800,14204,13977,19077,8056,2025-04-02 13:00:00,Super combat potion(4),12695
1743602400,14129,13984,14569,3150,2025-04-02 14:00:00,Super combat potion(4),12695
1743606000,14124,14082,8796,4047,2025-04-02 15:00:00,Super combat potion(4),12695
1743609600,14117,14070,25565,17502,2025-04-02 16:00:00,Super combat potion(4),12695
1743613200,14093,13964,17181,7884,2025-04-02 17:00:00,Super combat potion(4),12695
1743616800,14023,13967,19705,8129,2025-04-02 18:00:00,Super combat potion(4),12695
1743620400,14068,13949,20839,18282,2025-04-02 19:00:00,Super combat potion(4),12695
1743624000,14043,14001,34370,17342,2025-04-02 20:00:00,Super combat potion(4),12695
1743627600,13935,13813,34666,9136,2025-04-02 21:00:00,Super combat potion(4),12695
1743631200,14018,13927,6364,8232,2025-04-02 22:00:00,Super combat potion(4),12695
1743634800,14005,13964,15486,4748,2025-04-02 23:00:00,Super combat potion(4),12695
1743638400,13926,13853,12939,18335,2025-04-03 00:00:00,Super combat potion(4),12695
1743642000,14068,13890,13448,9515,2025-04-03 01:00:00,Super combat potion(4),12695
1743645600,14059,13920,25731,4765,2025-04-03 02:00:00,Super combat potion(4),12695
1743649200,14070,13974,8608,9424,2025-04-03 03:00:00,Super combat potion(4),12695
1743652800,13998,13905,8063,6466,2025-04-03 04:00:00,Super combat potion(4),12695
1743656400,14039,13907,17466,5661,2025-04-03 05:00:00,Super combat potion(4),12695
1743660000,14066,13944,9519,2461,2025-04-03 06:00:00,Super combat potion(4),12695
1743663600,13964,13866,8359,970,2025-04-03 07:00:00,Super combat potion(4),12695
1743667200,14061,13866,5845,2613,2025-04-03 08:00:00,Super combat potion(4),12695
1743670800,14035,13897,7150,1981,2025-04-03 09:00:00,Super combat potion(4),12695
1743674400,14062,13898,9446,19120,2025-04-03 10:00:00,Super combat potion(4),12695
1743678000,14052,13887,16350,10191,2025-04-03 11:00:00,Super combat potion(4),12695
1743681600,14026,13875,7778,8767,2025-04-03 12:00:00,Super combat potion(4),12695
1743685200,14033,13899,10739,3622,2025-04-03 13:00:00,Super combat potion(4),12695
1743688800,14024,13900,9909,5012,2025-04-03 14:00:00,Super combat potion(4),12695
1743692400,14054,13876,15124,4257,2025-04-03 15:00:00,Super combat potion(4),12695
1743696000,14054,13909,10351,2914,2025-04-03 16:00:00,Super combat potion(4),12695
1743699600,14000,13903,25402,11384,2025-04-03 17:00:00,Super combat potion(4),12695
1743703200,14002,13841,19042,8446,2025-04-03 18:00:00,Super combat potion(4),12695
1743706800,13993,13852,20768,6207,2025-04-03 19:00:00,Super combat potion(4),12695
1743710400,13920,13811,11528,13729,2025-04-03 20:00:00,Super combat potion(4),12695
1743714000,13837,13828,17822,3954,2025-04-03 21:00:00,Super combat potion(4),12695
1743717600,13974,13796,10923,13448,2025-04-03 22:00:00,Super combat potion(4),12695
1743721200,13895,13716,14637,15776,2025-04-03 23:00:00,Super combat potion(4),12695
1743724800,13899,13746,8979,5608,2025-04-04 00:00:00,Super combat potion(4),12695
1743728400,13978,13845,15612,4104,2025-04-04 01:00:00,Super combat potion(4),12695
1743732000,13987,13811,28913,13196,2025-04-04 02:00:00,Super combat potion(4),12695
1743735600,13903,13781,12526,8121,2025-04-04 03:00:00,Super combat potion(4),12695
1743739200,13883,13851,9493,3053,2025-04-04 04:00:00,Super combat potion(4),12695
1743742800,13948,13827,7921,1480,2025-04-04 05:00:00,Super combat potion(4),12695
1743746400,13961,13872,8131,4171,2025-04-04 06:00:00,Super combat potion(4),12695
1743750000,13914,13783,10913,11669,2025-04-04 07:00:00,Super combat potion(4),12695
1743753600,13963,13786,8215,5337,2025-04-04 08:00:00,Super combat potion(4),12695
1743757200,13923,13890,17348,3373,2025-04-04 09:00:00,Super combat potion(4),12695
1743760800,13893,13701,16859,11532,2025-04-04 10:00:00,Super combat potion(4),12695
1743764400,13877,13793,15811,2341,2025-04-04 11:00:00,Super combat potion(4),12695
1743768000,13892,13759,23056,3502,2025-04-04 12:00:00,Super combat potion(4),12695
1743771600,13915,13886,14775,5829,2025-04-04 13:00:00,Super combat potion(4),12695
1743775200,13905,13856,22046,7968,2025-04-04 14:00:00,Super combat potion(4),12695
1743778800,13913,13822,4876,6337,2025-04-04 15:00:00,Super combat potion(4),12695
1743782400,13915,13849,16644,5666,2025-04-04 16:00:00,Super combat potion(4),12695
1743786000,13868,13875,16673,2343,2025-04-04 17:00:00,Super combat potion(4),12695
1743789600,13914,13868,5577,8502,2025-04-04 18:00:00,Super combat potion(4),12695
1743793200,13909,13859,20074,7601,2025-04-04 19:00:00,Super combat potion(4),12695
1743796800,13952,13870,14601,14896,2025-04-04 20:00:00,Super combat potion(4),12695
1743800400,13915,13836,22000,5003,2025-04-04 21:00:00,Super combat potion(4),12695
1743804000,13888,13801,17346,7499,2025-04-04 22:00:00,Super combat potion(4),12695
1743807600,13888,13833,11727,4555,2025-04-04 23:00:00,Super combat potion(4),12695
1743811200,13888,13832,24410,4217,2025-04-05 00:00:00,Super combat potion(4),12695
1743814800,13889,13785,20715,1394,2025-04-05 01:00:00,Super combat potion(4),12695
1743818400,13872,13767,26400,8090,2025-04-05 02:00:00,Super combat potion(4),12695
1743822000,13879,13758,23962,6047,2025-04-05 03:00:00,Super combat potion(4),12695
1743825600,13892,13811,16122,4690,2025-04-05 04:00:00,Super combat potion(4),12695
1743829200,13865,13817,19359,5377,2025-04-05 05:00:00,Super combat potion(4),12695
1743832800,13980,13868,10848,3864,2025-04-05 06:00:00,Super combat potion(4),12695
1743836400,13915,13925,11377,5969,2025-04-05 07:00:00,Super combat potion(4),12695
1743840000,13897,13803,5359,6146,2025-04-05 08:00:00,Super combat potion(4),12695
1743843600,13915,13866,8008,7117,2025-04-05 09:00:00,Super combat potion(4),12695
1743847200,13892,13772,6554,13218,2025-04-05 10:00:00,Super combat potion(4),12695
1743850800,13817,13725,4986,3211,2025-04-05 11:00:00,Super combat potion(4),12695
1743854400,13875,13825,18380,6219,2025-04-05 12:00:00,Super combat potion(4),12695
1743858000,13854,13763,5735,4311,2025-04-05 13:00:00,Super combat potion(4),12695
1743861600,13905,13839,6719,15392,2025-04-05 14:00:00,Super combat potion(4),12695
1743865200,13919,13773,16491,7059,2025-04-05 15:00:00,Super combat potion(4),12695
1743868800,13844,13746,17256,5970,2025-04-05 16:00:00,Super combat potion(4),12695
1743872400,13817,13690,27482,8114,2025-04-05 17:00:00,Super combat potion(4),12695
1743876000,13831,13728,17634,13315,2025-04-05 18:00:00,Super combat potion(4),12695
1743879600,13832,13679,20861,8243,2025-04-05 19:00:00,Super combat potion(4),12695
1743883200,13850,13698,17722,7603,2025-04-05 20:00:00,Super combat potion(4),12695
