timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,24368.0,24399,5304,22787,2025-04-01 00:00:00,Superior dragon bones,22124
1743469200,24572.0,24284,3328,18022,2025-04-01 01:00:00,Superior dragon bones,22124
1743472800,24443.0,24265,24183,27983,2025-04-01 02:00:00,Superior dragon bones,22124
1743476400,24261.0,24179,3445,9069,2025-04-01 03:00:00,Superior dragon bones,22124
1743480000,24192.0,24134,3312,15520,2025-04-01 04:00:00,Superior dragon bones,22124
1743483600,24641.0,24060,10037,12728,2025-04-01 05:00:00,Superior dragon bones,22124
1743487200,24494.0,24288,1626,7869,2025-04-01 06:00:00,Superior dragon bones,22124
1743490800,24640.0,24523,3413,7582,2025-04-01 07:00:00,Superior dragon bones,22124
1743494400,24836.0,24387,2087,4336,2025-04-01 08:00:00,Superior dragon bones,22124
1743498000,24996.0,24867,10648,11121,2025-04-01 09:00:00,Superior dragon bones,22124
1743501600,24990.0,24590,1928,6704,2025-04-01 10:00:00,Superior dragon bones,22124
1743505200,24773.0,24615,1397,6114,2025-04-01 11:00:00,Superior dragon bones,22124
1743508800,24991.0,24601,1630,9750,2025-04-01 12:00:00,Superior dragon bones,22124
1743512400,24962.0,24686,609,9231,2025-04-01 13:00:00,Superior dragon bones,22124
1743516000,24568.0,24566,438,6413,2025-04-01 14:00:00,Superior dragon bones,22124
1743519600,24581.0,24533,7810,7985,2025-04-01 15:00:00,Superior dragon bones,22124
1743523200,24982.0,24605,11893,7714,2025-04-01 16:00:00,Superior dragon bones,22124
1743526800,24902.0,24543,6068,13230,2025-04-01 17:00:00,Superior dragon bones,22124
1743530400,24945.0,24591,6956,10072,2025-04-01 18:00:00,Superior dragon bones,22124
1743534000,25220.0,24805,8771,16339,2025-04-01 19:00:00,Superior dragon bones,22124
1743537600,25300.0,24815,16411,11498,2025-04-01 20:00:00,Superior dragon bones,22124
1743541200,25255.0,24687,5639,24134,2025-04-01 21:00:00,Superior dragon bones,22124
1743544800,25320.0,25067,4041,12635,2025-04-01 22:00:00,Superior dragon bones,22124
1743548400,25561.0,25203,13242,17106,2025-04-01 23:00:00,Superior dragon bones,22124
1743552000,25549.0,25192,3374,13047,2025-04-02 00:00:00,Superior dragon bones,22124
1743555600,25389.0,25263,5876,27329,2025-04-02 01:00:00,Superior dragon bones,22124
1743559200,25354.0,25100,8264,53464,2025-04-02 02:00:00,Superior dragon bones,22124
1743562800,25300.0,24974,1825,13087,2025-04-02 03:00:00,Superior dragon bones,22124
1743566400,25035.0,24722,3665,14354,2025-04-02 04:00:00,Superior dragon bones,22124
1743570000,25448.0,24758,6911,12210,2025-04-02 05:00:00,Superior dragon bones,22124
1743573600,25279.0,24805,11943,6738,2025-04-02 06:00:00,Superior dragon bones,22124
1743577200,25188.0,24801,1980,23429,2025-04-02 07:00:00,Superior dragon bones,22124
1743580800,24984.0,24721,715,5231,2025-04-02 08:00:00,Superior dragon bones,22124
1743584400,25301.0,24810,1660,4889,2025-04-02 09:00:00,Superior dragon bones,22124
1743588000,24810.0,24663,398,3154,2025-04-02 10:00:00,Superior dragon bones,22124
1743591600,24899.0,24706,576,6922,2025-04-02 11:00:00,Superior dragon bones,22124
1743595200,24880.0,24664,4181,7827,2025-04-02 12:00:00,Superior dragon bones,22124
1743598800,25111.0,24689,4054,7744,2025-04-02 13:00:00,Superior dragon bones,22124
1743602400,25003.0,24872,2113,14174,2025-04-02 14:00:00,Superior dragon bones,22124
1743606000,24987.0,24786,2232,6030,2025-04-02 15:00:00,Superior dragon bones,22124
1743609600,24954.0,24782,1812,13084,2025-04-02 16:00:00,Superior dragon bones,22124
1743613200,24985.0,24718,8040,11834,2025-04-02 17:00:00,Superior dragon bones,22124
1743616800,24983.0,24697,6750,24051,2025-04-02 18:00:00,Superior dragon bones,22124
1743620400,24996.0,24847,13076,18263,2025-04-02 19:00:00,Superior dragon bones,22124
1743624000,24978.0,24717,7496,15076,2025-04-02 20:00:00,Superior dragon bones,22124
1743627600,24975.0,24727,3847,9053,2025-04-02 21:00:00,Superior dragon bones,22124
1743631200,24943.0,24747,5085,9547,2025-04-02 22:00:00,Superior dragon bones,22124
1743634800,25004.0,24957,3112,17952,2025-04-02 23:00:00,Superior dragon bones,22124
1743638400,25018.0,24854,6459,11737,2025-04-03 00:00:00,Superior dragon bones,22124
1743642000,25192.0,24773,10440,13951,2025-04-03 01:00:00,Superior dragon bones,22124
1743645600,25287.0,24881,10213,23850,2025-04-03 02:00:00,Superior dragon bones,22124
1743649200,25486.0,25044,10687,17399,2025-04-03 03:00:00,Superior dragon bones,22124
1743652800,25067.0,24925,3182,9096,2025-04-03 04:00:00,Superior dragon bones,22124
1743656400,24998.0,24866,2394,3117,2025-04-03 05:00:00,Superior dragon bones,22124
1743660000,25861.0,25925,11058,11639,2025-04-03 06:00:00,Superior dragon bones,22124
1743663600,25741.0,25525,1313,4440,2025-04-03 07:00:00,Superior dragon bones,22124
1743667200,26070.0,26095,29,13510,2025-04-03 08:00:00,Superior dragon bones,22124
1743670800,26110.0,25765,2162,8752,2025-04-03 09:00:00,Superior dragon bones,22124
1743674400,25947.0,25681,3119,5205,2025-04-03 10:00:00,Superior dragon bones,22124
1743678000,26244.0,25926,4992,19336,2025-04-03 11:00:00,Superior dragon bones,22124
1743681600,25802.0,25610,3819,7753,2025-04-03 12:00:00,Superior dragon bones,22124
1743685200,25616.0,25363,946,12365,2025-04-03 13:00:00,Superior dragon bones,22124
1743688800,25213.0,25184,6432,19982,2025-04-03 14:00:00,Superior dragon bones,22124
1743692400,25459.0,25009,9529,23957,2025-04-03 15:00:00,Superior dragon bones,22124
1743696000,25232.0,25022,1628,9068,2025-04-03 16:00:00,Superior dragon bones,22124
1743699600,25084.0,25514,2979,18207,2025-04-03 17:00:00,Superior dragon bones,22124
1743703200,25834.0,25536,672,12061,2025-04-03 18:00:00,Superior dragon bones,22124
1743706800,26066.0,25551,3084,10632,2025-04-03 19:00:00,Superior dragon bones,22124
1743710400,25574.0,25297,2316,10073,2025-04-03 20:00:00,Superior dragon bones,22124
1743714000,25807.0,25612,2406,17002,2025-04-03 21:00:00,Superior dragon bones,22124
1743717600,25554.0,25389,6190,12261,2025-04-03 22:00:00,Superior dragon bones,22124
1743721200,25804.0,25486,11579,36632,2025-04-03 23:00:00,Superior dragon bones,22124
1743724800,25552.0,25366,1091,14416,2025-04-04 00:00:00,Superior dragon bones,22124
1743728400,25438.0,25301,2433,14190,2025-04-04 01:00:00,Superior dragon bones,22124
1743732000,25232.0,25226,6050,19391,2025-04-04 02:00:00,Superior dragon bones,22124
1743735600,25238.0,25049,4562,11400,2025-04-04 03:00:00,Superior dragon bones,22124
1743739200,25187.0,25109,5028,22351,2025-04-04 04:00:00,Superior dragon bones,22124
1743742800,25293.0,25139,817,13546,2025-04-04 05:00:00,Superior dragon bones,22124
1743746400,25724.0,25139,4760,6838,2025-04-04 06:00:00,Superior dragon bones,22124
1743750000,25189.0,25101,368,6203,2025-04-04 07:00:00,Superior dragon bones,22124
1743753600,25209.0,25111,2297,6211,2025-04-04 08:00:00,Superior dragon bones,22124
1743757200,25273.0,25397,3308,6672,2025-04-04 09:00:00,Superior dragon bones,22124
