timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2987,3017.0,33494,17692,2025-04-01 00:00:00,Toadflax potion (unf),3002
1743469200,2955,2917.0,10628,1052,2025-04-01 01:00:00,Toadflax potion (unf),3002
1743472800,2975,2926.0,25483,137,2025-04-01 02:00:00,Toadflax potion (unf),3002
1743476400,2992,2981.0,29267,21661,2025-04-01 03:00:00,Toadflax potion (unf),3002
1743480000,2974,2943.0,19199,2461,2025-04-01 04:00:00,Toadflax potion (unf),3002
1743483600,2972,2912.0,11299,703,2025-04-01 05:00:00,Toadflax potion (unf),3002
1743487200,2961,2927.0,5095,1726,2025-04-01 06:00:00,Toadflax potion (unf),3002
1743490800,2929,2937.0,18584,1485,2025-04-01 07:00:00,Toadflax potion (unf),3002
1743494400,2955,,13701,0,2025-04-01 08:00:00,Toadflax potion (unf),3002
1743498000,2944,2914.0,2177,11418,2025-04-01 09:00:00,Toadflax potion (unf),3002
1743501600,2968,2911.0,37448,1,2025-04-01 10:00:00,Toadflax potion (unf),3002
1743505200,2960,2934.0,9234,2026,2025-04-01 11:00:00,Toadflax potion (unf),3002
1743508800,2977,2969.0,11820,3093,2025-04-01 12:00:00,Toadflax potion (unf),3002
1743512400,2979,2963.0,6047,10597,2025-04-01 13:00:00,Toadflax potion (unf),3002
1743516000,2994,2954.0,56649,20872,2025-04-01 14:00:00,Toadflax potion (unf),3002
1743519600,2955,2949.0,3570,1824,2025-04-01 15:00:00,Toadflax potion (unf),3002
1743523200,3051,3025.0,25033,10191,2025-04-01 16:00:00,Toadflax potion (unf),3002
1743526800,2997,2985.0,3837,13995,2025-04-01 17:00:00,Toadflax potion (unf),3002
1743530400,2996,3080.0,19539,33658,2025-04-01 18:00:00,Toadflax potion (unf),3002
1743534000,3098,3058.0,32074,16082,2025-04-01 19:00:00,Toadflax potion (unf),3002
1743537600,3011,3008.0,14941,12583,2025-04-01 20:00:00,Toadflax potion (unf),3002
1743541200,3016,2996.0,53540,2687,2025-04-01 21:00:00,Toadflax potion (unf),3002
1743544800,3047,3080.0,24423,26243,2025-04-01 22:00:00,Toadflax potion (unf),3002
1743548400,3062,2986.0,24535,10514,2025-04-01 23:00:00,Toadflax potion (unf),3002
1743552000,3032,2989.0,14201,18238,2025-04-02 00:00:00,Toadflax potion (unf),3002
1743555600,3009,2962.0,30965,8603,2025-04-02 01:00:00,Toadflax potion (unf),3002
1743559200,3049,3117.0,43265,4810,2025-04-02 02:00:00,Toadflax potion (unf),3002
1743562800,2983,,7758,0,2025-04-02 03:00:00,Toadflax potion (unf),3002
1743566400,2940,2937.0,14353,8059,2025-04-02 04:00:00,Toadflax potion (unf),3002
1743570000,2947,2912.0,14778,1501,2025-04-02 05:00:00,Toadflax potion (unf),3002
1743573600,2959,,5709,0,2025-04-02 06:00:00,Toadflax potion (unf),3002
1743577200,2959,2906.0,17076,1897,2025-04-02 07:00:00,Toadflax potion (unf),3002
1743580800,2963,2908.0,5662,1,2025-04-02 08:00:00,Toadflax potion (unf),3002
1743584400,2951,2933.0,14260,211,2025-04-02 09:00:00,Toadflax potion (unf),3002
1743588000,2962,2907.0,28074,45,2025-04-02 10:00:00,Toadflax potion (unf),3002
1743591600,2989,2950.0,6540,338,2025-04-02 11:00:00,Toadflax potion (unf),3002
1743595200,2982,2956.0,12584,24896,2025-04-02 12:00:00,Toadflax potion (unf),3002
1743598800,2978,2910.0,40314,16317,2025-04-02 13:00:00,Toadflax potion (unf),3002
1743602400,2946,2861.0,67788,10709,2025-04-02 14:00:00,Toadflax potion (unf),3002
1743606000,2979,2927.0,18644,26,2025-04-02 15:00:00,Toadflax potion (unf),3002
1743609600,2989,2971.0,19594,20668,2025-04-02 16:00:00,Toadflax potion (unf),3002
1743613200,2997,2978.0,35119,2136,2025-04-02 17:00:00,Toadflax potion (unf),3002
1743616800,2989,2957.0,31457,9950,2025-04-02 18:00:00,Toadflax potion (unf),3002
1743620400,2996,2929.0,22904,4161,2025-04-02 19:00:00,Toadflax potion (unf),3002
1743624000,2966,2933.0,28688,1930,2025-04-02 20:00:00,Toadflax potion (unf),3002
1743627600,2978,2917.0,21061,59868,2025-04-02 21:00:00,Toadflax potion (unf),3002
1743631200,2984,2962.0,28086,2535,2025-04-02 22:00:00,Toadflax potion (unf),3002
1743634800,2974,2973.0,25392,2727,2025-04-02 23:00:00,Toadflax potion (unf),3002
1743638400,2946,2923.0,25591,1938,2025-04-03 00:00:00,Toadflax potion (unf),3002
1743642000,2939,2912.0,38565,13664,2025-04-03 01:00:00,Toadflax potion (unf),3002
1743645600,2985,2949.0,37365,2,2025-04-03 02:00:00,Toadflax potion (unf),3002
1743649200,2998,,11572,0,2025-04-03 03:00:00,Toadflax potion (unf),3002
1743652800,2973,2956.0,27680,1629,2025-04-03 04:00:00,Toadflax potion (unf),3002
1743656400,2950,2937.0,2865,5950,2025-04-03 05:00:00,Toadflax potion (unf),3002
1743660000,2950,2978.0,17169,1482,2025-04-03 06:00:00,Toadflax potion (unf),3002
1743663600,2985,2986.0,11921,4297,2025-04-03 07:00:00,Toadflax potion (unf),3002
1743667200,2969,2983.0,15492,5896,2025-04-03 08:00:00,Toadflax potion (unf),3002
1743670800,2929,2907.0,10178,1215,2025-04-03 09:00:00,Toadflax potion (unf),3002
1743674400,2959,2895.0,11572,6650,2025-04-03 10:00:00,Toadflax potion (unf),3002
1743678000,2921,2905.0,5887,216,2025-04-03 11:00:00,Toadflax potion (unf),3002
1743681600,2986,2939.0,38684,4398,2025-04-03 12:00:00,Toadflax potion (unf),3002
1743685200,3008,2943.0,17875,37,2025-04-03 13:00:00,Toadflax potion (unf),3002
1743688800,2990,2950.0,16039,5628,2025-04-03 14:00:00,Toadflax potion (unf),3002
1743692400,2972,2938.0,13120,7231,2025-04-03 15:00:00,Toadflax potion (unf),3002
1743696000,2978,2922.0,30406,146,2025-04-03 16:00:00,Toadflax potion (unf),3002
1743699600,2956,2910.0,8973,459,2025-04-03 17:00:00,Toadflax potion (unf),3002
1743703200,2967,2940.0,45604,16324,2025-04-03 18:00:00,Toadflax potion (unf),3002
1743706800,3006,2923.0,42227,6320,2025-04-03 19:00:00,Toadflax potion (unf),3002
1743710400,2960,2924.0,18915,1185,2025-04-03 20:00:00,Toadflax potion (unf),3002
1743714000,2946,2923.0,14214,1152,2025-04-03 21:00:00,Toadflax potion (unf),3002
1743717600,2971,2946.0,33116,4210,2025-04-03 22:00:00,Toadflax potion (unf),3002
1743721200,2990,2914.0,6133,2648,2025-04-03 23:00:00,Toadflax potion (unf),3002
1743724800,2958,2952.0,11404,6770,2025-04-04 00:00:00,Toadflax potion (unf),3002
1743728400,2966,2924.0,66252,4827,2025-04-04 01:00:00,Toadflax potion (unf),3002
1743732000,2987,2939.0,41738,1002,2025-04-04 02:00:00,Toadflax potion (unf),3002
1743735600,2962,2947.0,23202,15746,2025-04-04 03:00:00,Toadflax potion (unf),3002
1743739200,2952,2946.0,39417,2400,2025-04-04 04:00:00,Toadflax potion (unf),3002
1743742800,2949,2916.0,21157,318,2025-04-04 05:00:00,Toadflax potion (unf),3002
1743746400,2955,2935.0,15718,7994,2025-04-04 06:00:00,Toadflax potion (unf),3002
1743750000,2951,2919.0,3302,2357,2025-04-04 07:00:00,Toadflax potion (unf),3002
1743753600,2929,2911.0,3416,766,2025-04-04 08:00:00,Toadflax potion (unf),3002
1743757200,2962,2936.0,23034,1334,2025-04-04 09:00:00,Toadflax potion (unf),3002
1743760800,2962,2922.0,23763,12227,2025-04-04 10:00:00,Toadflax potion (unf),3002
1743764400,2966,2955.0,6736,7317,2025-04-04 11:00:00,Toadflax potion (unf),3002
1743768000,2984,2975.0,20325,16583,2025-04-04 12:00:00,Toadflax potion (unf),3002
1743771600,2998,2971.0,19723,195,2025-04-04 13:00:00,Toadflax potion (unf),3002
1743775200,2997,2972.0,15290,9623,2025-04-04 14:00:00,Toadflax potion (unf),3002
1743778800,2979,2916.0,28281,3331,2025-04-04 15:00:00,Toadflax potion (unf),3002
1743782400,2953,2918.0,27274,172,2025-04-04 16:00:00,Toadflax potion (unf),3002
1743786000,2956,2931.0,17314,9381,2025-04-04 17:00:00,Toadflax potion (unf),3002
1743789600,2956,2936.0,32904,88,2025-04-04 18:00:00,Toadflax potion (unf),3002
1743793200,2955,2955.0,3772,4307,2025-04-04 19:00:00,Toadflax potion (unf),3002
1743796800,2975,2956.0,31012,4474,2025-04-04 20:00:00,Toadflax potion (unf),3002
1743800400,2967,2952.0,6137,25026,2025-04-04 21:00:00,Toadflax potion (unf),3002
1743804000,2955,2945.0,2857,5286,2025-04-04 22:00:00,Toadflax potion (unf),3002
1743807600,2946,2955.0,10421,26123,2025-04-04 23:00:00,Toadflax potion (unf),3002
1743811200,2947,3044.0,14636,7890,2025-04-05 00:00:00,Toadflax potion (unf),3002
1743814800,3098,3044.0,13266,15912,2025-04-05 01:00:00,Toadflax potion (unf),3002
1743818400,3079,3030.0,26074,3174,2025-04-05 02:00:00,Toadflax potion (unf),3002
1743822000,3020,2971.0,46942,6017,2025-04-05 03:00:00,Toadflax potion (unf),3002
1743825600,2976,2961.0,14134,27680,2025-04-05 04:00:00,Toadflax potion (unf),3002
1743829200,2970,2972.0,10031,123,2025-04-05 05:00:00,Toadflax potion (unf),3002
1743832800,2965,2957.0,25613,20463,2025-04-05 06:00:00,Toadflax potion (unf),3002
1743836400,2962,2959.0,13013,10204,2025-04-05 07:00:00,Toadflax potion (unf),3002
1743840000,2964,2954.0,13245,6074,2025-04-05 08:00:00,Toadflax potion (unf),3002
1743843600,2951,2934.0,12947,9118,2025-04-05 09:00:00,Toadflax potion (unf),3002
1743847200,2955,2915.0,13341,492,2025-04-05 10:00:00,Toadflax potion (unf),3002
1743850800,2959,2959.0,3819,10465,2025-04-05 11:00:00,Toadflax potion (unf),3002
1743854400,2955,2956.0,9539,6536,2025-04-05 12:00:00,Toadflax potion (unf),3002
1743858000,2958,2956.0,26812,3478,2025-04-05 13:00:00,Toadflax potion (unf),3002
1743861600,2977,2968.0,24586,11789,2025-04-05 14:00:00,Toadflax potion (unf),3002
1743865200,3010,2966.0,15135,8016,2025-04-05 15:00:00,Toadflax potion (unf),3002
1743868800,3027,2968.0,28278,5877,2025-04-05 16:00:00,Toadflax potion (unf),3002
