timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,23135569,22884534,43,53,2025-04-01 00:00:00,Tormented bracelet,19544
1743469200,23159446,23026036,26,35,2025-04-01 01:00:00,Tormented bracelet,19544
1743472800,23143337,22936485,33,40,2025-04-01 02:00:00,Tormented bracelet,19544
1743476400,23081480,22986617,9,19,2025-04-01 03:00:00,Tormented bracelet,19544
1743480000,23247848,22948914,16,25,2025-04-01 04:00:00,Tormented bracelet,19544
1743483600,23606736,23364815,7,24,2025-04-01 05:00:00,Tormented bracelet,19544
1743487200,23165301,22934204,15,15,2025-04-01 06:00:00,Tormented bracelet,19544
1743490800,23111991,23053244,6,10,2025-04-01 07:00:00,Tormented bracelet,19544
1743494400,23194162,22980673,11,13,2025-04-01 08:00:00,Tormented bracelet,19544
1743498000,23191908,23012650,8,15,2025-04-01 09:00:00,Tormented bracelet,19544
1743501600,23179933,22913275,9,17,2025-04-01 10:00:00,Tormented bracelet,19544
1743505200,23109174,22876775,9,17,2025-04-01 11:00:00,Tormented bracelet,19544
1743508800,23157101,22940496,21,16,2025-04-01 12:00:00,Tormented bracelet,19544
1743512400,23183266,22987675,16,21,2025-04-01 13:00:00,Tormented bracelet,19544
1743516000,23177553,22953504,19,18,2025-04-01 14:00:00,Tormented bracelet,19544
1743519600,23237274,23014422,40,35,2025-04-01 15:00:00,Tormented bracelet,19544
1743523200,23265533,23104515,25,21,2025-04-01 16:00:00,Tormented bracelet,19544
1743526800,23176942,23008266,36,13,2025-04-01 17:00:00,Tormented bracelet,19544
1743530400,23247793,23025300,36,29,2025-04-01 18:00:00,Tormented bracelet,19544
1743534000,23252045,23089631,51,29,2025-04-01 19:00:00,Tormented bracelet,19544
1743537600,23554330,23248263,43,45,2025-04-01 20:00:00,Tormented bracelet,19544
1743541200,23391229,23137773,33,24,2025-04-01 21:00:00,Tormented bracelet,19544
1743544800,23196178,22964205,38,44,2025-04-01 22:00:00,Tormented bracelet,19544
1743548400,23146293,22878284,33,27,2025-04-01 23:00:00,Tormented bracelet,19544
1743552000,23345996,23086268,34,45,2025-04-02 00:00:00,Tormented bracelet,19544
1743555600,23289007,23093863,37,33,2025-04-02 01:00:00,Tormented bracelet,19544
1743559200,23294700,23029927,46,37,2025-04-02 02:00:00,Tormented bracelet,19544
1743562800,23289356,23072723,30,31,2025-04-02 03:00:00,Tormented bracelet,19544
1743566400,23350098,23120205,57,16,2025-04-02 04:00:00,Tormented bracelet,19544
1743570000,23311936,23157963,28,13,2025-04-02 05:00:00,Tormented bracelet,19544
1743573600,23277330,23098314,8,18,2025-04-02 06:00:00,Tormented bracelet,19544
1743577200,23278168,23070857,22,20,2025-04-02 07:00:00,Tormented bracelet,19544
1743580800,23285675,23120400,16,13,2025-04-02 08:00:00,Tormented bracelet,19544
1743584400,23331117,23097889,12,11,2025-04-02 09:00:00,Tormented bracelet,19544
1743588000,23369306,23064804,8,10,2025-04-02 10:00:00,Tormented bracelet,19544
1743591600,23256282,22976782,12,17,2025-04-02 11:00:00,Tormented bracelet,19544
1743595200,23196874,22970557,9,9,2025-04-02 12:00:00,Tormented bracelet,19544
1743598800,23212883,22983471,26,16,2025-04-02 13:00:00,Tormented bracelet,19544
1743602400,23222510,22986398,31,22,2025-04-02 14:00:00,Tormented bracelet,19544
1743606000,23221871,23071845,26,13,2025-04-02 15:00:00,Tormented bracelet,19544
1743609600,23289445,23032463,34,23,2025-04-02 16:00:00,Tormented bracelet,19544
1743613200,23373318,23131592,25,22,2025-04-02 17:00:00,Tormented bracelet,19544
1743616800,23451677,23261236,14,25,2025-04-02 18:00:00,Tormented bracelet,19544
1743620400,23349159,23116806,32,42,2025-04-02 19:00:00,Tormented bracelet,19544
1743624000,23284869,23084639,42,25,2025-04-02 20:00:00,Tormented bracelet,19544
1743627600,23268709,23075022,44,41,2025-04-02 21:00:00,Tormented bracelet,19544
1743631200,23188987,22950414,42,34,2025-04-02 22:00:00,Tormented bracelet,19544
1743634800,23172597,23023024,20,39,2025-04-02 23:00:00,Tormented bracelet,19544
1743638400,23188239,23076202,29,23,2025-04-03 00:00:00,Tormented bracelet,19544
1743642000,23211179,23017233,30,35,2025-04-03 01:00:00,Tormented bracelet,19544
1743645600,23121346,22930689,20,21,2025-04-03 02:00:00,Tormented bracelet,19544
1743649200,23090231,22924542,22,27,2025-04-03 03:00:00,Tormented bracelet,19544
1743652800,23323729,22999811,19,24,2025-04-03 04:00:00,Tormented bracelet,19544
1743656400,23253706,23032766,8,20,2025-04-03 05:00:00,Tormented bracelet,19544
1743660000,23222467,22981766,18,15,2025-04-03 06:00:00,Tormented bracelet,19544
1743663600,23246476,23070948,14,11,2025-04-03 07:00:00,Tormented bracelet,19544
1743667200,23290178,23041987,15,12,2025-04-03 08:00:00,Tormented bracelet,19544
1743670800,23244320,23006993,10,5,2025-04-03 09:00:00,Tormented bracelet,19544
1743674400,23217603,23068418,7,16,2025-04-03 10:00:00,Tormented bracelet,19544
1743678000,23117730,22941196,18,16,2025-04-03 11:00:00,Tormented bracelet,19544
1743681600,23199371,23001878,20,12,2025-04-03 12:00:00,Tormented bracelet,19544
1743685200,23177396,22973571,11,17,2025-04-03 13:00:00,Tormented bracelet,19544
1743688800,23166360,22909413,26,25,2025-04-03 14:00:00,Tormented bracelet,19544
1743692400,23112925,22885251,27,27,2025-04-03 15:00:00,Tormented bracelet,19544
1743696000,23130251,22953481,25,27,2025-04-03 16:00:00,Tormented bracelet,19544
1743699600,23149680,22994473,32,34,2025-04-03 17:00:00,Tormented bracelet,19544
1743703200,23171819,22960834,25,28,2025-04-03 18:00:00,Tormented bracelet,19544
1743706800,23147545,22946889,26,49,2025-04-03 19:00:00,Tormented bracelet,19544
1743710400,23142856,22912564,41,24,2025-04-03 20:00:00,Tormented bracelet,19544
1743714000,23119407,22885363,33,44,2025-04-03 21:00:00,Tormented bracelet,19544
1743717600,23255113,23088912,32,47,2025-04-03 22:00:00,Tormented bracelet,19544
1743721200,23216979,23035415,30,25,2025-04-03 23:00:00,Tormented bracelet,19544
1743724800,23136745,22890050,38,32,2025-04-04 00:00:00,Tormented bracelet,19544
1743728400,23122342,22883618,40,32,2025-04-04 01:00:00,Tormented bracelet,19544
1743732000,23087936,22864586,24,23,2025-04-04 02:00:00,Tormented bracelet,19544
1743735600,23049803,22818449,47,33,2025-04-04 03:00:00,Tormented bracelet,19544
1743739200,23070530,22896511,25,24,2025-04-04 04:00:00,Tormented bracelet,19544
1743742800,23100611,22884018,14,17,2025-04-04 05:00:00,Tormented bracelet,19544
1743746400,23111126,22774878,17,16,2025-04-04 06:00:00,Tormented bracelet,19544
1743750000,23107826,22846292,18,17,2025-04-04 07:00:00,Tormented bracelet,19544
1743753600,23094152,22806594,21,10,2025-04-04 08:00:00,Tormented bracelet,19544
1743757200,23131765,22955854,15,19,2025-04-04 09:00:00,Tormented bracelet,19544
1743760800,23169610,22888236,14,13,2025-04-04 10:00:00,Tormented bracelet,19544
1743764400,23172169,22878469,24,19,2025-04-04 11:00:00,Tormented bracelet,19544
1743768000,23343047,23091378,15,17,2025-04-04 12:00:00,Tormented bracelet,19544
1743771600,23246152,23129713,21,14,2025-04-04 13:00:00,Tormented bracelet,19544
1743775200,23572899,23308905,8,23,2025-04-04 14:00:00,Tormented bracelet,19544
1743778800,23329926,23134300,27,25,2025-04-04 15:00:00,Tormented bracelet,19544
1743782400,23280281,23105843,20,30,2025-04-04 16:00:00,Tormented bracelet,19544
1743786000,23107910,22954519,40,25,2025-04-04 17:00:00,Tormented bracelet,19544
1743789600,23124885,22923056,38,24,2025-04-04 18:00:00,Tormented bracelet,19544
1743793200,23147964,22922060,44,58,2025-04-04 19:00:00,Tormented bracelet,19544
1743796800,23182797,22966134,47,23,2025-04-04 20:00:00,Tormented bracelet,19544
1743800400,23166504,22907142,47,22,2025-04-04 21:00:00,Tormented bracelet,19544
1743804000,23219107,22963170,41,35,2025-04-04 22:00:00,Tormented bracelet,19544
1743807600,23155652,22991650,30,34,2025-04-04 23:00:00,Tormented bracelet,19544
1743811200,23226009,23023019,26,30,2025-04-05 00:00:00,Tormented bracelet,19544
1743814800,23157040,23003541,15,22,2025-04-05 01:00:00,Tormented bracelet,19544
1743818400,23205062,22953499,36,30,2025-04-05 02:00:00,Tormented bracelet,19544
1743822000,23225599,22954202,25,27,2025-04-05 03:00:00,Tormented bracelet,19544
1743825600,23225385,22998048,23,30,2025-04-05 04:00:00,Tormented bracelet,19544
1743829200,23264489,23035519,13,24,2025-04-05 05:00:00,Tormented bracelet,19544
1743832800,23245708,23000929,25,23,2025-04-05 06:00:00,Tormented bracelet,19544
1743836400,23286153,23012778,14,13,2025-04-05 07:00:00,Tormented bracelet,19544
1743840000,23198497,22948647,14,18,2025-04-05 08:00:00,Tormented bracelet,19544
1743843600,23091661,22899837,26,21,2025-04-05 09:00:00,Tormented bracelet,19544
1743847200,23321201,23056962,17,13,2025-04-05 10:00:00,Tormented bracelet,19544
1743850800,23251552,23065466,14,13,2025-04-05 11:00:00,Tormented bracelet,19544
1743854400,23213364,22983665,26,17,2025-04-05 12:00:00,Tormented bracelet,19544
1743858000,23194759,22966594,23,34,2025-04-05 13:00:00,Tormented bracelet,19544
1743861600,23093384,22898809,31,23,2025-04-05 14:00:00,Tormented bracelet,19544
1743865200,23183907,22982167,27,23,2025-04-05 15:00:00,Tormented bracelet,19544
1743868800,23270606,23021440,28,35,2025-04-05 16:00:00,Tormented bracelet,19544
1743872400,23151150,23000092,30,34,2025-04-05 17:00:00,Tormented bracelet,19544
1743876000,23175384,22967317,28,29,2025-04-05 18:00:00,Tormented bracelet,19544
1743879600,23205415,22974322,27,36,2025-04-05 19:00:00,Tormented bracelet,19544
1743883200,23210823,23035405,25,31,2025-04-05 20:00:00,Tormented bracelet,19544
1743886800,23157425,22931493,45,42,2025-04-05 21:00:00,Tormented bracelet,19544
1743890400,23261906,22984805,34,38,2025-04-05 22:00:00,Tormented bracelet,19544
1743894000,23229906,22988398,37,29,2025-04-05 23:00:00,Tormented bracelet,19544
1743897600,23213482,22959541,33,31,2025-04-06 00:00:00,Tormented bracelet,19544
1743901200,23203337,23025547,39,22,2025-04-06 01:00:00,Tormented bracelet,19544
1743904800,23394776,23015159,32,80,2025-04-06 02:00:00,Tormented bracelet,19544
1743908400,23281691,23034389,39,26,2025-04-06 03:00:00,Tormented bracelet,19544
1743912000,23664439,23313296,23,26,2025-04-06 04:00:00,Tormented bracelet,19544
1743915600,23522616,23344964,21,22,2025-04-06 05:00:00,Tormented bracelet,19544
1743919200,23648334,23336019,21,15,2025-04-06 06:00:00,Tormented bracelet,19544
1743922800,23525942,23324526,26,29,2025-04-06 07:00:00,Tormented bracelet,19544
1743926400,23523567,23297739,11,17,2025-04-06 08:00:00,Tormented bracelet,19544
1743930000,23502207,23198693,12,23,2025-04-06 09:00:00,Tormented bracelet,19544
1743933600,23439173,23134778,15,10,2025-04-06 10:00:00,Tormented bracelet,19544
1743937200,23529001,23254225,21,17,2025-04-06 11:00:00,Tormented bracelet,19544
1743940800,23579766,23309845,18,14,2025-04-06 12:00:00,Tormented bracelet,19544
1743944400,23551872,23266442,31,25,2025-04-06 13:00:00,Tormented bracelet,19544
1743948000,23574777,23330615,20,19,2025-04-06 14:00:00,Tormented bracelet,19544
1743951600,23619553,23361290,32,45,2025-04-06 15:00:00,Tormented bracelet,19544
1743955200,23561498,23295416,36,35,2025-04-06 16:00:00,Tormented bracelet,19544
1743958800,23614741,23313025,44,23,2025-04-06 17:00:00,Tormented bracelet,19544
1743962400,23633568,23382353,44,37,2025-04-06 18:00:00,Tormented bracelet,19544
1743966000,23670021,23397865,34,49,2025-04-06 19:00:00,Tormented bracelet,19544
1743969600,23699287,23479547,40,42,2025-04-06 20:00:00,Tormented bracelet,19544
1743973200,23696305,23451694,46,43,2025-04-06 21:00:00,Tormented bracelet,19544
1743976800,23793574,23546349,45,39,2025-04-06 22:00:00,Tormented bracelet,19544
1743980400,23739281,23491414,43,31,2025-04-06 23:00:00,Tormented bracelet,19544
1743984000,23705150,23490448,41,30,2025-04-07 00:00:00,Tormented bracelet,19544
1743987600,23667501,23362073,29,36,2025-04-07 01:00:00,Tormented bracelet,19544
1743991200,23663575,23371377,28,53,2025-04-07 02:00:00,Tormented bracelet,19544
1743994800,23674677,23405672,28,28,2025-04-07 03:00:00,Tormented bracelet,19544
1743998400,23705601,23391124,15,11,2025-04-07 04:00:00,Tormented bracelet,19544
1744002000,23688837,23454036,17,22,2025-04-07 05:00:00,Tormented bracelet,19544
1744005600,23699086,23450535,22,16,2025-04-07 06:00:00,Tormented bracelet,19544
1744009200,23573232,23353586,29,20,2025-04-07 07:00:00,Tormented bracelet,19544
1744012800,23648431,23417725,16,17,2025-04-07 08:00:00,Tormented bracelet,19544
1744016400,23549584,23485455,2,18,2025-04-07 09:00:00,Tormented bracelet,19544
1744020000,23696024,23417518,23,14,2025-04-07 10:00:00,Tormented bracelet,19544
1744023600,23704231,23478837,16,13,2025-04-07 11:00:00,Tormented bracelet,19544
1744027200,23641156,23403353,13,19,2025-04-07 12:00:00,Tormented bracelet,19544
1744030800,23596814,23384172,14,20,2025-04-07 13:00:00,Tormented bracelet,19544
1744034400,23617892,23370088,25,23,2025-04-07 14:00:00,Tormented bracelet,19544
1744038000,23563720,23301185,31,21,2025-04-07 15:00:00,Tormented bracelet,19544
1744041600,23529115,23277214,33,24,2025-04-07 16:00:00,Tormented bracelet,19544
1744045200,23506952,23255328,27,21,2025-04-07 17:00:00,Tormented bracelet,19544
1744048800,23513268,23249074,45,33,2025-04-07 18:00:00,Tormented bracelet,19544
1744052400,23524751,23286160,43,41,2025-04-07 19:00:00,Tormented bracelet,19544
1744056000,23496712,23233057,36,28,2025-04-07 20:00:00,Tormented bracelet,19544
1744059600,23477022,23174181,32,42,2025-04-07 21:00:00,Tormented bracelet,19544
1744063200,23439956,23166596,24,26,2025-04-07 22:00:00,Tormented bracelet,19544
1744066800,23514479,23280344,20,39,2025-04-07 23:00:00,Tormented bracelet,19544
1744070400,23544857,23283505,40,33,2025-04-08 00:00:00,Tormented bracelet,19544
1744074000,23505357,23273868,38,24,2025-04-08 01:00:00,Tormented bracelet,19544
1744077600,23520660,23351708,38,41,2025-04-08 02:00:00,Tormented bracelet,19544
1744081200,23639088,23410147,11,25,2025-04-08 03:00:00,Tormented bracelet,19544
1744084800,23594302,23334859,35,25,2025-04-08 04:00:00,Tormented bracelet,19544
1744088400,23516634,23287870,12,14,2025-04-08 05:00:00,Tormented bracelet,19544
1744092000,23487576,23202553,25,26,2025-04-08 06:00:00,Tormented bracelet,19544
1744095600,23510305,23363959,21,12,2025-04-08 07:00:00,Tormented bracelet,19544
