timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,43497064,43080639,42,30,2025-04-01 00:00:00,Tormented synapse,29580
1743469200,43738755,43334122,53,36,2025-04-01 01:00:00,Tormented synapse,29580
1743472800,43710588,43277674,28,24,2025-04-01 02:00:00,Tormented synapse,29580
1743476400,43624829,43157260,27,17,2025-04-01 03:00:00,Tormented synapse,29580
1743480000,43622296,43154377,32,32,2025-04-01 04:00:00,Tormented synapse,29580
1743483600,43293893,43249290,44,18,2025-04-01 05:00:00,Tormented synapse,29580
1743487200,43628601,43187605,8,15,2025-04-01 06:00:00,Tormented synapse,29580
1743490800,43555582,42969398,13,6,2025-04-01 07:00:00,Tormented synapse,29580
1743494400,43604531,43127517,20,9,2025-04-01 08:00:00,Tormented synapse,29580
1743498000,43639615,43038712,25,6,2025-04-01 09:00:00,Tormented synapse,29580
1743501600,43451799,43099728,9,14,2025-04-01 10:00:00,Tormented synapse,29580
1743505200,43418180,43308171,15,10,2025-04-01 11:00:00,Tormented synapse,29580
1743508800,43557447,43131075,19,12,2025-04-01 12:00:00,Tormented synapse,29580
1743512400,43553944,43378406,26,12,2025-04-01 13:00:00,Tormented synapse,29580
1743516000,43864470,43476010,33,24,2025-04-01 14:00:00,Tormented synapse,29580
1743519600,44079148,43646429,19,30,2025-04-01 15:00:00,Tormented synapse,29580
1743523200,43909522,43662415,28,50,2025-04-01 16:00:00,Tormented synapse,29580
1743526800,43620000,43331882,34,32,2025-04-01 17:00:00,Tormented synapse,29580
1743530400,43398333,42978421,42,27,2025-04-01 18:00:00,Tormented synapse,29580
1743534000,43185088,42755907,38,46,2025-04-01 19:00:00,Tormented synapse,29580
1743537600,43174583,42766953,47,34,2025-04-01 20:00:00,Tormented synapse,29580
1743541200,43105276,42689986,36,22,2025-04-01 21:00:00,Tormented synapse,29580
1743544800,43171652,42943165,33,34,2025-04-01 22:00:00,Tormented synapse,29580
1743548400,43328558,42768155,24,26,2025-04-01 23:00:00,Tormented synapse,29580
1743552000,43267470,43109683,36,28,2025-04-02 00:00:00,Tormented synapse,29580
1743555600,43180304,42700073,35,23,2025-04-02 01:00:00,Tormented synapse,29580
1743559200,43335792,43085894,24,20,2025-04-02 02:00:00,Tormented synapse,29580
1743562800,43472869,43143469,40,22,2025-04-02 03:00:00,Tormented synapse,29580
1743566400,43443517,43422366,21,22,2025-04-02 04:00:00,Tormented synapse,29580
1743570000,43802726,43483831,16,11,2025-04-02 05:00:00,Tormented synapse,29580
1743573600,43642108,43170997,14,10,2025-04-02 06:00:00,Tormented synapse,29580
1743577200,43502772,42953791,25,23,2025-04-02 07:00:00,Tormented synapse,29580
1743580800,43286953,42792139,25,21,2025-04-02 08:00:00,Tormented synapse,29580
1743584400,43245760,42855625,28,5,2025-04-02 09:00:00,Tormented synapse,29580
1743588000,43277912,42802961,15,8,2025-04-02 10:00:00,Tormented synapse,29580
1743591600,43430423,42947467,30,12,2025-04-02 11:00:00,Tormented synapse,29580
1743595200,43412836,43001874,10,22,2025-04-02 12:00:00,Tormented synapse,29580
1743598800,43335389,42887542,29,26,2025-04-02 13:00:00,Tormented synapse,29580
1743602400,43054551,42779467,24,18,2025-04-02 14:00:00,Tormented synapse,29580
1743606000,43306319,42981783,34,13,2025-04-02 15:00:00,Tormented synapse,29580
1743609600,43374404,43145444,26,21,2025-04-02 16:00:00,Tormented synapse,29580
1743613200,43763448,43330981,25,20,2025-04-02 17:00:00,Tormented synapse,29580
1743616800,43841145,43371498,21,25,2025-04-02 18:00:00,Tormented synapse,29580
1743620400,43635512,43339927,30,31,2025-04-02 19:00:00,Tormented synapse,29580
1743624000,43750980,43325135,31,30,2025-04-02 20:00:00,Tormented synapse,29580
1743627600,43400133,43209470,22,16,2025-04-02 21:00:00,Tormented synapse,29580
1743631200,43712222,43403911,27,25,2025-04-02 22:00:00,Tormented synapse,29580
1743634800,43724913,43445554,31,33,2025-04-02 23:00:00,Tormented synapse,29580
1743638400,43518284,43136498,19,20,2025-04-03 00:00:00,Tormented synapse,29580
1743642000,43412487,43086239,37,21,2025-04-03 01:00:00,Tormented synapse,29580
1743645600,43418726,43105610,24,25,2025-04-03 02:00:00,Tormented synapse,29580
1743649200,43234354,42780337,14,19,2025-04-03 03:00:00,Tormented synapse,29580
1743652800,43097265,42890043,24,17,2025-04-03 04:00:00,Tormented synapse,29580
