timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,7015980,6928717,41,46,2025-04-01 00:00:00,Toxic blowpipe (empty),12924
1743469200,7005708,6924803,59,50,2025-04-01 01:00:00,Toxic blowpipe (empty),12924
1743472800,6986681,6890024,65,57,2025-04-01 02:00:00,Toxic blowpipe (empty),12924
1743476400,6978706,6883984,58,58,2025-04-01 03:00:00,Toxic blowpipe (empty),12924
1743480000,6966965,6875677,56,38,2025-04-01 04:00:00,Toxic blowpipe (empty),12924
1743483600,6992552,6901391,41,37,2025-04-01 05:00:00,Toxic blowpipe (empty),12924
1743487200,6973338,6883027,38,24,2025-04-01 06:00:00,Toxic blowpipe (empty),12924
1743490800,6969122,6879378,23,27,2025-04-01 07:00:00,Toxic blowpipe (empty),12924
1743494400,6944924,6864855,38,25,2025-04-01 08:00:00,Toxic blowpipe (empty),12924
1743498000,6988382,6880945,18,24,2025-04-01 09:00:00,Toxic blowpipe (empty),12924
1743501600,6993059,6909535,12,30,2025-04-01 10:00:00,Toxic blowpipe (empty),12924
1743505200,6987668,6922828,27,12,2025-04-01 11:00:00,Toxic blowpipe (empty),12924
1743508800,7009029,6941740,42,45,2025-04-01 12:00:00,Toxic blowpipe (empty),12924
1743512400,6992388,6926443,37,35,2025-04-01 13:00:00,Toxic blowpipe (empty),12924
1743516000,6961908,6883335,50,48,2025-04-01 14:00:00,Toxic blowpipe (empty),12924
1743519600,6935689,6881819,60,41,2025-04-01 15:00:00,Toxic blowpipe (empty),12924
1743523200,6940517,6862157,49,35,2025-04-01 16:00:00,Toxic blowpipe (empty),12924
1743526800,6934726,6853002,63,60,2025-04-01 17:00:00,Toxic blowpipe (empty),12924
1743530400,6924209,6843143,48,48,2025-04-01 18:00:00,Toxic blowpipe (empty),12924
1743534000,6908317,6828471,49,51,2025-04-01 19:00:00,Toxic blowpipe (empty),12924
1743537600,6903191,6822862,47,76,2025-04-01 20:00:00,Toxic blowpipe (empty),12924
1743541200,6917023,6835185,59,54,2025-04-01 21:00:00,Toxic blowpipe (empty),12924
1743544800,6910815,6829898,84,58,2025-04-01 22:00:00,Toxic blowpipe (empty),12924
1743548400,6899925,6820924,51,60,2025-04-01 23:00:00,Toxic blowpipe (empty),12924
