timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,6374952,6300895.0,15,26,2025-04-01 00:00:00,Twinflame staff,30634
1743469200,6333160,6254732.0,21,21,2025-04-01 01:00:00,Twinflame staff,30634
1743472800,6571976,6438953.0,20,24,2025-04-01 02:00:00,Twinflame staff,30634
1743476400,6682450,6573036.0,26,18,2025-04-01 03:00:00,Twinflame staff,30634
1743480000,6555254,6374697.0,23,16,2025-04-01 04:00:00,Twinflame staff,30634
1743483600,6554090,6503848.0,4,16,2025-04-01 05:00:00,Twinflame staff,30634
1743487200,6443276,6347720.0,15,10,2025-04-01 06:00:00,Twinflame staff,30634
1743490800,6396791,6294944.0,15,9,2025-04-01 07:00:00,Twinflame staff,30634
1743494400,6425679,6323304.0,12,14,2025-04-01 08:00:00,Twinflame staff,30634
1743498000,6444262,6366325.0,5,14,2025-04-01 09:00:00,Twinflame staff,30634
1743501600,6478751,6336481.0,4,10,2025-04-01 10:00:00,Twinflame staff,30634
1743505200,6501780,6403733.0,18,8,2025-04-01 11:00:00,Twinflame staff,30634
1743508800,6572936,6476968.0,15,17,2025-04-01 12:00:00,Twinflame staff,30634
1743512400,6445072,6400054.0,16,10,2025-04-01 13:00:00,Twinflame staff,30634
1743516000,6468329,6397461.0,17,9,2025-04-01 14:00:00,Twinflame staff,30634
1743519600,6437044,6394181.0,17,20,2025-04-01 15:00:00,Twinflame staff,30634
1743523200,6761426,6569918.0,7,18,2025-04-01 16:00:00,Twinflame staff,30634
1743526800,6711081,6628459.0,21,18,2025-04-01 17:00:00,Twinflame staff,30634
1743530400,6664019,6577133.0,34,15,2025-04-01 18:00:00,Twinflame staff,30634
1743534000,6655265,6540071.0,21,18,2025-04-01 19:00:00,Twinflame staff,30634
1743537600,6606432,6529567.0,13,19,2025-04-01 20:00:00,Twinflame staff,30634
1743541200,6570732,6509831.0,23,18,2025-04-01 21:00:00,Twinflame staff,30634
1743544800,6555708,6452226.0,24,18,2025-04-01 22:00:00,Twinflame staff,30634
1743548400,6561863,6491816.0,11,27,2025-04-01 23:00:00,Twinflame staff,30634
1743552000,6566694,6503162.0,18,15,2025-04-02 00:00:00,Twinflame staff,30634
1743555600,6600519,6510474.0,37,23,2025-04-02 01:00:00,Twinflame staff,30634
1743559200,6570621,6477044.0,32,25,2025-04-02 02:00:00,Twinflame staff,30634
1743562800,6580578,6491575.0,9,16,2025-04-02 03:00:00,Twinflame staff,30634
1743566400,6566170,6438804.0,10,12,2025-04-02 04:00:00,Twinflame staff,30634
1743570000,6579883,6483187.0,18,17,2025-04-02 05:00:00,Twinflame staff,30634
1743573600,6593806,6501889.0,13,12,2025-04-02 06:00:00,Twinflame staff,30634
1743577200,6586329,6506656.0,5,11,2025-04-02 07:00:00,Twinflame staff,30634
1743580800,6576043,6491418.0,6,6,2025-04-02 08:00:00,Twinflame staff,30634
1743584400,6583302,6509000.0,10,8,2025-04-02 09:00:00,Twinflame staff,30634
1743588000,6557694,6489331.0,13,7,2025-04-02 10:00:00,Twinflame staff,30634
1743591600,6530255,6450648.0,18,10,2025-04-02 11:00:00,Twinflame staff,30634
1743595200,6566695,6441430.0,23,10,2025-04-02 12:00:00,Twinflame staff,30634
1743598800,6526500,6437083.0,11,14,2025-04-02 13:00:00,Twinflame staff,30634
1743602400,6533669,6423149.0,16,12,2025-04-02 14:00:00,Twinflame staff,30634
1743606000,6530079,6437445.0,13,13,2025-04-02 15:00:00,Twinflame staff,30634
1743609600,6510646,6436574.0,16,10,2025-04-02 16:00:00,Twinflame staff,30634
1743613200,6538847,6465256.0,13,14,2025-04-02 17:00:00,Twinflame staff,30634
1743616800,6518435,6426356.0,35,19,2025-04-02 18:00:00,Twinflame staff,30634
1743620400,6522604,6427464.0,20,31,2025-04-02 19:00:00,Twinflame staff,30634
1743624000,6514213,6441211.0,26,19,2025-04-02 20:00:00,Twinflame staff,30634
1743627600,6537445,6467490.0,27,15,2025-04-02 21:00:00,Twinflame staff,30634
1743631200,6552414,6472973.0,35,12,2025-04-02 22:00:00,Twinflame staff,30634
1743634800,6541728,6480377.0,36,22,2025-04-02 23:00:00,Twinflame staff,30634
