timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1570750937.0,1565363183.0,18,16,2025-04-01 00:00:00,Twisted bow,20997
1743469200,1570774056.0,1565742597.0,23,22,2025-04-01 01:00:00,Twisted bow,20997
1743472800,1570040634.0,1566078230.0,13,16,2025-04-01 02:00:00,Twisted bow,20997
1743476400,1570800548.0,1568472587.0,7,13,2025-04-01 03:00:00,Twisted bow,20997
1743480000,1571430810.0,1568734574.0,5,7,2025-04-01 04:00:00,Twisted bow,20997
1743483600,1573860122.0,1570797043.0,9,7,2025-04-01 05:00:00,Twisted bow,20997
1743487200,1574932424.0,1570499177.0,5,12,2025-04-01 06:00:00,Twisted bow,20997
1743490800,,1567865455.0,0,1,2025-04-01 07:00:00,Twisted bow,20997
1743494400,1574293728.0,1568076123.0,2,2,2025-04-01 08:00:00,Twisted bow,20997
1743498000,1574264680.0,1568214067.0,2,5,2025-04-01 09:00:00,Twisted bow,20997
1743501600,1574063603.0,1570359738.0,4,5,2025-04-01 10:00:00,Twisted bow,20997
1743505200,1574307999.0,1569094348.0,3,7,2025-04-01 11:00:00,Twisted bow,20997
1743508800,1569668578.0,1570734863.0,4,5,2025-04-01 12:00:00,Twisted bow,20997
1743512400,1573738063.0,1569918082.0,5,5,2025-04-01 13:00:00,Twisted bow,20997
1743516000,1573102581.0,1570666667.0,5,3,2025-04-01 14:00:00,Twisted bow,20997
1743519600,1573673816.0,1575000000.0,10,2,2025-04-01 15:00:00,Twisted bow,20997
1743523200,1577410655.0,1573410736.0,8,8,2025-04-01 16:00:00,Twisted bow,20997
1743526800,1577946101.0,1573344785.0,9,14,2025-04-01 17:00:00,Twisted bow,20997
1743530400,1578713644.0,1575600000.0,7,8,2025-04-01 18:00:00,Twisted bow,20997
1743534000,1578007825.0,1572827202.0,19,23,2025-04-01 19:00:00,Twisted bow,20997
1743537600,1575815231.0,1570868633.0,13,18,2025-04-01 20:00:00,Twisted bow,20997
1743541200,1572040006.0,1569204583.0,14,13,2025-04-01 21:00:00,Twisted bow,20997
1743544800,1570729111.0,1570306480.0,16,13,2025-04-01 22:00:00,Twisted bow,20997
1743548400,1577149833.0,1570561193.0,6,12,2025-04-01 23:00:00,Twisted bow,20997
1743552000,1576738140.0,1572214199.0,16,15,2025-04-02 00:00:00,Twisted bow,20997
1743555600,1577205643.0,1573993335.0,11,14,2025-04-02 01:00:00,Twisted bow,20997
1743559200,1577541920.0,1572806888.0,7,14,2025-04-02 02:00:00,Twisted bow,20997
1743562800,1574694252.0,1572720852.0,6,15,2025-04-02 03:00:00,Twisted bow,20997
1743566400,1576225350.0,1570352443.0,6,17,2025-04-02 04:00:00,Twisted bow,20997
1743570000,1576427597.0,1570335033.0,16,6,2025-04-02 05:00:00,Twisted bow,20997
1743573600,1576660000.0,1573000000.0,1,3,2025-04-02 06:00:00,Twisted bow,20997
1743577200,1576282222.0,1571685405.0,2,8,2025-04-02 07:00:00,Twisted bow,20997
1743580800,1575584833.0,1569837632.0,6,5,2025-04-02 08:00:00,Twisted bow,20997
1743584400,1576547184.0,,4,0,2025-04-02 09:00:00,Twisted bow,20997
1743588000,1577204953.0,1577000000.0,2,1,2025-04-02 10:00:00,Twisted bow,20997
1743591600,1577640593.0,1569893097.0,9,3,2025-04-02 11:00:00,Twisted bow,20997
1743595200,1577386991.0,1571645947.0,7,12,2025-04-02 12:00:00,Twisted bow,20997
1743598800,1573428694.0,1570393008.0,8,11,2025-04-02 13:00:00,Twisted bow,20997
1743602400,1575871692.0,1570035517.0,3,11,2025-04-02 14:00:00,Twisted bow,20997
1743606000,1571803637.0,1570020600.0,4,4,2025-04-02 15:00:00,Twisted bow,20997
1743609600,1574102477.0,1570066116.0,8,5,2025-04-02 16:00:00,Twisted bow,20997
1743613200,1571537358.0,1568209813.0,10,12,2025-04-02 17:00:00,Twisted bow,20997
1743616800,1572162597.0,1567385146.0,9,10,2025-04-02 18:00:00,Twisted bow,20997
1743620400,1571081466.0,1559513591.0,17,12,2025-04-02 19:00:00,Twisted bow,20997
1743624000,1557287245.0,1554259634.0,8,8,2025-04-02 20:00:00,Twisted bow,20997
1743627600,1558530300.0,1551107369.0,8,12,2025-04-02 21:00:00,Twisted bow,20997
