timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,5056741,5008333,23,30,2025-04-01 00:00:00,Uncharged toxic trident,12900
1743469200,5078916,5019999,32,20,2025-04-01 01:00:00,Uncharged toxic trident,12900
1743472800,5110064,5040379,24,24,2025-04-01 02:00:00,Uncharged toxic trident,12900
1743476400,5100631,5031519,23,29,2025-04-01 03:00:00,Uncharged toxic trident,12900
1743480000,5096287,5034839,17,16,2025-04-01 04:00:00,Uncharged toxic trident,12900
1743483600,5082509,5021426,17,11,2025-04-01 05:00:00,Uncharged toxic trident,12900
1743487200,5109622,5041400,12,16,2025-04-01 06:00:00,Uncharged toxic trident,12900
1743490800,5103992,5021828,7,10,2025-04-01 07:00:00,Uncharged toxic trident,12900
1743494400,5087050,5021393,14,5,2025-04-01 08:00:00,Uncharged toxic trident,12900
1743498000,5086250,5047589,8,5,2025-04-01 09:00:00,Uncharged toxic trident,12900
1743501600,5099238,5053004,7,12,2025-04-01 10:00:00,Uncharged toxic trident,12900
1743505200,5104791,5051664,10,12,2025-04-01 11:00:00,Uncharged toxic trident,12900
1743508800,5081790,5040989,7,11,2025-04-01 12:00:00,Uncharged toxic trident,12900
1743512400,5097834,5038054,16,14,2025-04-01 13:00:00,Uncharged toxic trident,12900
1743516000,5102417,5047295,24,17,2025-04-01 14:00:00,Uncharged toxic trident,12900
1743519600,5079435,5033838,30,21,2025-04-01 15:00:00,Uncharged toxic trident,12900
1743523200,5074788,5008245,26,24,2025-04-01 16:00:00,Uncharged toxic trident,12900
1743526800,5053789,4999478,23,30,2025-04-01 17:00:00,Uncharged toxic trident,12900
1743530400,5040331,5000109,14,24,2025-04-01 18:00:00,Uncharged toxic trident,12900
1743534000,5031672,4963375,58,38,2025-04-01 19:00:00,Uncharged toxic trident,12900
1743537600,5053252,4996242,27,42,2025-04-01 20:00:00,Uncharged toxic trident,12900
1743541200,5035371,4977343,24,15,2025-04-01 21:00:00,Uncharged toxic trident,12900
1743544800,5175928,5079717,41,31,2025-04-01 22:00:00,Uncharged toxic trident,12900
1743548400,5041710,4984231,29,27,2025-04-01 23:00:00,Uncharged toxic trident,12900
1743552000,5038370,4987520,27,21,2025-04-02 00:00:00,Uncharged toxic trident,12900
1743555600,5076875,4984656,33,29,2025-04-02 01:00:00,Uncharged toxic trident,12900
1743559200,5210524,5132346,26,24,2025-04-02 02:00:00,Uncharged toxic trident,12900
1743562800,5214740,5150957,36,37,2025-04-02 03:00:00,Uncharged toxic trident,12900
1743566400,5244684,5159560,4,16,2025-04-02 04:00:00,Uncharged toxic trident,12900
1743570000,5248420,5151705,14,25,2025-04-02 05:00:00,Uncharged toxic trident,12900
1743573600,5209236,5096887,14,17,2025-04-02 06:00:00,Uncharged toxic trident,12900
1743577200,5155093,5092753,10,14,2025-04-02 07:00:00,Uncharged toxic trident,12900
1743580800,5086563,5053787,11,6,2025-04-02 08:00:00,Uncharged toxic trident,12900
1743584400,5111222,5026342,13,10,2025-04-02 09:00:00,Uncharged toxic trident,12900
1743588000,5172173,5088880,11,15,2025-04-02 10:00:00,Uncharged toxic trident,12900
1743591600,5137053,5069256,13,15,2025-04-02 11:00:00,Uncharged toxic trident,12900
1743595200,5158282,5089310,10,16,2025-04-02 12:00:00,Uncharged toxic trident,12900
1743598800,5185806,5113671,18,19,2025-04-02 13:00:00,Uncharged toxic trident,12900
1743602400,5300071,5424732,24,31,2025-04-02 14:00:00,Uncharged toxic trident,12900
1743606000,5335558,5392873,18,32,2025-04-02 15:00:00,Uncharged toxic trident,12900
1743609600,5256532,5165939,17,18,2025-04-02 16:00:00,Uncharged toxic trident,12900
1743613200,5209758,5143039,30,38,2025-04-02 17:00:00,Uncharged toxic trident,12900
1743616800,5191486,5117175,15,22,2025-04-02 18:00:00,Uncharged toxic trident,12900
1743620400,5128298,5078388,19,39,2025-04-02 19:00:00,Uncharged toxic trident,12900
1743624000,5090868,5045299,23,21,2025-04-02 20:00:00,Uncharged toxic trident,12900
1743627600,5080841,5017160,29,17,2025-04-02 21:00:00,Uncharged toxic trident,12900
1743631200,5062647,5003116,30,23,2025-04-02 22:00:00,Uncharged toxic trident,12900
1743634800,5063364,4989848,34,18,2025-04-02 23:00:00,Uncharged toxic trident,12900
1743638400,5053231,4987827,45,33,2025-04-03 00:00:00,Uncharged toxic trident,12900
1743642000,5015902,4988167,11,25,2025-04-03 01:00:00,Uncharged toxic trident,12900
1743645600,5079720,5018471,39,24,2025-04-03 02:00:00,Uncharged toxic trident,12900
1743649200,5079840,5008263,22,34,2025-04-03 03:00:00,Uncharged toxic trident,12900
1743652800,5066046,4986003,25,18,2025-04-03 04:00:00,Uncharged toxic trident,12900
1743656400,5046660,4989121,21,30,2025-04-03 05:00:00,Uncharged toxic trident,12900
1743660000,5058410,5000048,21,12,2025-04-03 06:00:00,Uncharged toxic trident,12900
1743663600,5065822,5004481,13,12,2025-04-03 07:00:00,Uncharged toxic trident,12900
1743667200,5059306,4994769,12,11,2025-04-03 08:00:00,Uncharged toxic trident,12900
1743670800,5052854,5018399,6,10,2025-04-03 09:00:00,Uncharged toxic trident,12900
1743674400,5044162,4991721,15,13,2025-04-03 10:00:00,Uncharged toxic trident,12900
1743678000,5043384,4983256,12,12,2025-04-03 11:00:00,Uncharged toxic trident,12900
1743681600,5024064,4976397,13,18,2025-04-03 12:00:00,Uncharged toxic trident,12900
1743685200,5026968,4962140,25,17,2025-04-03 13:00:00,Uncharged toxic trident,12900
1743688800,5034558,4969885,18,27,2025-04-03 14:00:00,Uncharged toxic trident,12900
1743692400,5018304,4962259,22,17,2025-04-03 15:00:00,Uncharged toxic trident,12900
1743696000,4986958,4916792,13,18,2025-04-03 16:00:00,Uncharged toxic trident,12900
1743699600,4971724,4895949,24,39,2025-04-03 17:00:00,Uncharged toxic trident,12900
1743703200,4964160,4901848,36,40,2025-04-03 18:00:00,Uncharged toxic trident,12900
1743706800,4963336,4951731,46,33,2025-04-03 19:00:00,Uncharged toxic trident,12900
1743710400,5072764,5008335,34,19,2025-04-03 20:00:00,Uncharged toxic trident,12900
1743714000,5045177,4992419,32,30,2025-04-03 21:00:00,Uncharged toxic trident,12900
1743717600,5063123,5009664,21,24,2025-04-03 22:00:00,Uncharged toxic trident,12900
1743721200,5041556,4980565,41,32,2025-04-03 23:00:00,Uncharged toxic trident,12900
1743724800,5040284,4980126,38,18,2025-04-04 00:00:00,Uncharged toxic trident,12900
1743728400,5053287,4999426,27,24,2025-04-04 01:00:00,Uncharged toxic trident,12900
1743732000,5016544,4958999,29,29,2025-04-04 02:00:00,Uncharged toxic trident,12900
1743735600,5033089,4969807,22,21,2025-04-04 03:00:00,Uncharged toxic trident,12900
1743739200,5071102,5016317,29,39,2025-04-04 04:00:00,Uncharged toxic trident,12900
1743742800,5123005,5055374,20,9,2025-04-04 05:00:00,Uncharged toxic trident,12900
1743746400,5613957,5392075,11,23,2025-04-04 06:00:00,Uncharged toxic trident,12900
1743750000,5497794,5415444,19,8,2025-04-04 07:00:00,Uncharged toxic trident,12900
1743753600,5226487,5146692,13,16,2025-04-04 08:00:00,Uncharged toxic trident,12900
1743757200,5184243,5113362,9,12,2025-04-04 09:00:00,Uncharged toxic trident,12900
1743760800,5101630,5094726,9,9,2025-04-04 10:00:00,Uncharged toxic trident,12900
1743764400,5210954,5148727,17,12,2025-04-04 11:00:00,Uncharged toxic trident,12900
1743768000,5121330,5046142,9,14,2025-04-04 12:00:00,Uncharged toxic trident,12900
1743771600,5079373,5018630,27,19,2025-04-04 13:00:00,Uncharged toxic trident,12900
1743775200,5158529,5085735,28,14,2025-04-04 14:00:00,Uncharged toxic trident,12900
1743778800,5157401,5094066,13,25,2025-04-04 15:00:00,Uncharged toxic trident,12900
1743782400,5142295,5067788,11,20,2025-04-04 16:00:00,Uncharged toxic trident,12900
1743786000,5087523,5038172,25,15,2025-04-04 17:00:00,Uncharged toxic trident,12900
1743789600,5083180,5021083,18,25,2025-04-04 18:00:00,Uncharged toxic trident,12900
1743793200,5072201,5011287,38,22,2025-04-04 19:00:00,Uncharged toxic trident,12900
1743796800,5094155,5029511,30,35,2025-04-04 20:00:00,Uncharged toxic trident,12900
1743800400,5089506,5028887,28,21,2025-04-04 21:00:00,Uncharged toxic trident,12900
1743804000,5089277,5026522,33,24,2025-04-04 22:00:00,Uncharged toxic trident,12900
