timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2250.0,2204,28983,138715,2025-04-01 00:00:00,Uncut diamond,1617
1743469200,2223.0,2191,37386,82250,2025-04-01 01:00:00,Uncut diamond,1617
1743472800,2217.0,2187,31702,80250,2025-04-01 02:00:00,Uncut diamond,1617
1743476400,2202.0,2189,28738,51466,2025-04-01 03:00:00,Uncut diamond,1617
1743480000,2221.0,2195,23156,50131,2025-04-01 04:00:00,Uncut diamond,1617
1743483600,2194.0,2189,18822,39870,2025-04-01 05:00:00,Uncut diamond,1617
1743487200,2192.0,2195,3682,39890,2025-04-01 06:00:00,Uncut diamond,1617
1743490800,2201.0,2241,2908,23315,2025-04-01 07:00:00,Uncut diamond,1617
1743494400,2247.0,2210,11477,50235,2025-04-01 08:00:00,Uncut diamond,1617
1743498000,2237.0,2201,7364,48348,2025-04-01 09:00:00,Uncut diamond,1617
1743501600,2233.0,2211,41558,30679,2025-04-01 10:00:00,Uncut diamond,1617
1743505200,2213.0,2197,23853,28820,2025-04-01 11:00:00,Uncut diamond,1617
1743508800,2206.0,2192,30825,28623,2025-04-01 12:00:00,Uncut diamond,1617
1743512400,2229.0,2190,17278,38009,2025-04-01 13:00:00,Uncut diamond,1617
1743516000,2252.0,2218,1582,39105,2025-04-01 14:00:00,Uncut diamond,1617
1743519600,2232.0,2205,25380,22202,2025-04-01 15:00:00,Uncut diamond,1617
1743523200,2206.0,2185,15960,29927,2025-04-01 16:00:00,Uncut diamond,1617
1743526800,2256.0,2211,6646,43737,2025-04-01 17:00:00,Uncut diamond,1617
1743530400,2244.0,2203,30944,23026,2025-04-01 18:00:00,Uncut diamond,1617
1743534000,2209.0,2212,7878,60079,2025-04-01 19:00:00,Uncut diamond,1617
1743537600,2248.0,2218,23258,39994,2025-04-01 20:00:00,Uncut diamond,1617
1743541200,2221.0,2200,28667,40458,2025-04-01 21:00:00,Uncut diamond,1617
1743544800,2236.0,2220,15275,37254,2025-04-01 22:00:00,Uncut diamond,1617
1743548400,2228.0,2200,33413,96850,2025-04-01 23:00:00,Uncut diamond,1617
1743552000,2209.0,2202,13643,36242,2025-04-02 00:00:00,Uncut diamond,1617
1743555600,2254.0,2215,44568,63959,2025-04-02 01:00:00,Uncut diamond,1617
1743559200,2238.0,2221,20591,63388,2025-04-02 02:00:00,Uncut diamond,1617
1743562800,2221.0,2216,42209,71833,2025-04-02 03:00:00,Uncut diamond,1617
1743566400,2213.0,2198,23710,56382,2025-04-02 04:00:00,Uncut diamond,1617
1743570000,2217.0,2191,6696,26359,2025-04-02 05:00:00,Uncut diamond,1617
1743573600,2210.0,2235,10448,36078,2025-04-02 06:00:00,Uncut diamond,1617
1743577200,2321.0,2261,21361,40373,2025-04-02 07:00:00,Uncut diamond,1617
1743580800,2271.0,2233,21639,41746,2025-04-02 08:00:00,Uncut diamond,1617
1743584400,2226.0,2199,46812,28502,2025-04-02 09:00:00,Uncut diamond,1617
1743588000,2210.0,2203,12280,22469,2025-04-02 10:00:00,Uncut diamond,1617
1743591600,2243.0,2222,18762,35792,2025-04-02 11:00:00,Uncut diamond,1617
1743595200,2276.0,2238,30739,98443,2025-04-02 12:00:00,Uncut diamond,1617
1743598800,2209.0,2200,12112,29791,2025-04-02 13:00:00,Uncut diamond,1617
1743602400,2238.0,2223,14445,39481,2025-04-02 14:00:00,Uncut diamond,1617
1743606000,2281.0,2211,12810,28307,2025-04-02 15:00:00,Uncut diamond,1617
1743609600,2312.0,2290,264,39052,2025-04-02 16:00:00,Uncut diamond,1617
1743613200,2258.0,2278,5310,41624,2025-04-02 17:00:00,Uncut diamond,1617
1743616800,2302.0,2279,7933,45682,2025-04-02 18:00:00,Uncut diamond,1617
1743620400,2335.0,2291,37442,73914,2025-04-02 19:00:00,Uncut diamond,1617
1743624000,2344.0,2315,22856,44583,2025-04-02 20:00:00,Uncut diamond,1617
1743627600,2319.0,2281,21860,62370,2025-04-02 21:00:00,Uncut diamond,1617
1743631200,2323.0,2296,30916,38490,2025-04-02 22:00:00,Uncut diamond,1617
1743634800,2301.0,2258,32339,51302,2025-04-02 23:00:00,Uncut diamond,1617
1743638400,2262.0,2245,42519,50541,2025-04-03 00:00:00,Uncut diamond,1617
1743642000,2258.0,2250,89991,63450,2025-04-03 01:00:00,Uncut diamond,1617
1743645600,2245.0,2232,57797,78542,2025-04-03 02:00:00,Uncut diamond,1617
1743649200,2232.0,2216,66631,58513,2025-04-03 03:00:00,Uncut diamond,1617
1743652800,2296.0,2252,12630,82838,2025-04-03 04:00:00,Uncut diamond,1617
1743656400,2250.0,2239,17531,42133,2025-04-03 05:00:00,Uncut diamond,1617
1743660000,2281.0,2244,26732,54265,2025-04-03 06:00:00,Uncut diamond,1617
1743663600,2270.0,2236,6203,53541,2025-04-03 07:00:00,Uncut diamond,1617
1743667200,2247.0,2231,6644,30562,2025-04-03 08:00:00,Uncut diamond,1617
1743670800,2245.0,2229,36237,42269,2025-04-03 09:00:00,Uncut diamond,1617
1743674400,2247.0,2229,15354,35846,2025-04-03 10:00:00,Uncut diamond,1617
1743678000,2229.0,2212,11733,36685,2025-04-03 11:00:00,Uncut diamond,1617
1743681600,2228.0,2218,11205,29361,2025-04-03 12:00:00,Uncut diamond,1617
1743685200,2242.0,2214,33788,42936,2025-04-03 13:00:00,Uncut diamond,1617
1743688800,2237.0,2221,14743,46554,2025-04-03 14:00:00,Uncut diamond,1617
1743692400,2295.0,2255,33411,28964,2025-04-03 15:00:00,Uncut diamond,1617
1743696000,2287.0,2243,23079,37746,2025-04-03 16:00:00,Uncut diamond,1617
1743699600,2275.0,2247,43377,50291,2025-04-03 17:00:00,Uncut diamond,1617
1743703200,2265.0,2243,9311,30836,2025-04-03 18:00:00,Uncut diamond,1617
1743706800,2258.0,2234,28614,53700,2025-04-03 19:00:00,Uncut diamond,1617
1743710400,2257.0,2225,25870,40955,2025-04-03 20:00:00,Uncut diamond,1617
1743714000,2257.0,2227,17957,33307,2025-04-03 21:00:00,Uncut diamond,1617
1743717600,2255.0,2240,23659,57431,2025-04-03 22:00:00,Uncut diamond,1617
1743721200,2263.0,2240,11155,46427,2025-04-03 23:00:00,Uncut diamond,1617
1743724800,2263.0,2265,32097,78698,2025-04-04 00:00:00,Uncut diamond,1617
1743728400,2259.0,2226,26663,58818,2025-04-04 01:00:00,Uncut diamond,1617
1743732000,2243.0,2220,37479,43474,2025-04-04 02:00:00,Uncut diamond,1617
1743735600,2244.0,2220,49396,61128,2025-04-04 03:00:00,Uncut diamond,1617
1743739200,2261.0,2239,28526,43839,2025-04-04 04:00:00,Uncut diamond,1617
1743742800,2257.0,2234,12701,27227,2025-04-04 05:00:00,Uncut diamond,1617
1743746400,2252.0,2227,12773,27358,2025-04-04 06:00:00,Uncut diamond,1617
1743750000,2259.0,2227,15547,43826,2025-04-04 07:00:00,Uncut diamond,1617
1743753600,2258.0,2241,14652,39491,2025-04-04 08:00:00,Uncut diamond,1617
1743757200,2250.0,2223,21515,41422,2025-04-04 09:00:00,Uncut diamond,1617
1743760800,2238.0,2221,21555,38911,2025-04-04 10:00:00,Uncut diamond,1617
1743764400,2239.0,2221,12633,87786,2025-04-04 11:00:00,Uncut diamond,1617
1743768000,2252.0,2218,14769,33473,2025-04-04 12:00:00,Uncut diamond,1617
1743771600,2253.0,2221,14972,44569,2025-04-04 13:00:00,Uncut diamond,1617
1743775200,2248.0,2227,23405,31816,2025-04-04 14:00:00,Uncut diamond,1617
1743778800,2246.0,2228,29652,35495,2025-04-04 15:00:00,Uncut diamond,1617
1743782400,2247.0,2221,21002,60868,2025-04-04 16:00:00,Uncut diamond,1617
1743786000,2245.0,2220,13836,45687,2025-04-04 17:00:00,Uncut diamond,1617
1743789600,2243.0,2219,3715,91848,2025-04-04 18:00:00,Uncut diamond,1617
1743793200,2283.0,2250,14426,54274,2025-04-04 19:00:00,Uncut diamond,1617
1743796800,2283.0,2256,19360,40470,2025-04-04 20:00:00,Uncut diamond,1617
1743800400,2282.0,2251,38904,40600,2025-04-04 21:00:00,Uncut diamond,1617
1743804000,2249.0,2248,18187,49201,2025-04-04 22:00:00,Uncut diamond,1617
1743807600,2252.0,2225,11034,52043,2025-04-04 23:00:00,Uncut diamond,1617
1743811200,2251.0,2245,11199,30804,2025-04-05 00:00:00,Uncut diamond,1617
1743814800,2273.0,2245,11655,55750,2025-04-05 01:00:00,Uncut diamond,1617
1743818400,2255.0,2239,30292,55963,2025-04-05 02:00:00,Uncut diamond,1617
1743822000,2253.0,2223,52383,101307,2025-04-05 03:00:00,Uncut diamond,1617
1743825600,2265.0,2234,14748,69220,2025-04-05 04:00:00,Uncut diamond,1617
1743829200,2254.0,2249,14682,46273,2025-04-05 05:00:00,Uncut diamond,1617
1743832800,2262.0,2234,22429,39944,2025-04-05 06:00:00,Uncut diamond,1617
1743836400,2258.0,2231,20120,44688,2025-04-05 07:00:00,Uncut diamond,1617
1743840000,2255.0,2233,12287,41962,2025-04-05 08:00:00,Uncut diamond,1617
1743843600,2239.0,2214,45124,56461,2025-04-05 09:00:00,Uncut diamond,1617
1743847200,2248.0,2224,10992,26780,2025-04-05 10:00:00,Uncut diamond,1617
1743850800,2238.0,2218,14030,27474,2025-04-05 11:00:00,Uncut diamond,1617
1743854400,2245.0,2233,22990,30147,2025-04-05 12:00:00,Uncut diamond,1617
1743858000,2247.0,2224,9709,54707,2025-04-05 13:00:00,Uncut diamond,1617
1743861600,2261.0,2231,50977,38021,2025-04-05 14:00:00,Uncut diamond,1617
1743865200,2246.0,2231,32459,43139,2025-04-05 15:00:00,Uncut diamond,1617
1743868800,2255.0,2227,56824,36830,2025-04-05 16:00:00,Uncut diamond,1617
1743872400,2236.0,2223,16773,48963,2025-04-05 17:00:00,Uncut diamond,1617
1743876000,2249.0,2237,18817,44677,2025-04-05 18:00:00,Uncut diamond,1617
1743879600,2258.0,2233,18802,47561,2025-04-05 19:00:00,Uncut diamond,1617
1743883200,2246.0,2229,20239,44835,2025-04-05 20:00:00,Uncut diamond,1617
1743886800,2266.0,2241,30974,39728,2025-04-05 21:00:00,Uncut diamond,1617
1743890400,2292.0,2258,26229,45109,2025-04-05 22:00:00,Uncut diamond,1617
1743894000,2278.0,2249,52751,39893,2025-04-05 23:00:00,Uncut diamond,1617
