timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1194,1170,5242,17367,2025-04-01 00:00:00,White berries,239
1743469200,1182,1175,9793,29790,2025-04-01 01:00:00,White berries,239
1743472800,1189,1181,3527,23774,2025-04-01 02:00:00,White berries,239
1743476400,1263,1209,9194,29020,2025-04-01 03:00:00,White berries,239
1743480000,1200,1169,5318,28615,2025-04-01 04:00:00,White berries,239
1743483600,1199,1218,10041,13394,2025-04-01 05:00:00,White berries,239
1743487200,1222,1192,7992,17247,2025-04-01 06:00:00,White berries,239
1743490800,1203,1169,7585,16987,2025-04-01 07:00:00,White berries,239
1743494400,1175,1156,585,13229,2025-04-01 08:00:00,White berries,239
1743498000,1149,1146,4031,6655,2025-04-01 09:00:00,White berries,239
1743501600,1144,1173,6839,17622,2025-04-01 10:00:00,White berries,239
1743505200,1175,1145,8550,11425,2025-04-01 11:00:00,White berries,239
1743508800,1192,1154,8799,7579,2025-04-01 12:00:00,White berries,239
1743512400,1198,1180,12306,13945,2025-04-01 13:00:00,White berries,239
1743516000,1195,1183,16291,29613,2025-04-01 14:00:00,White berries,239
1743519600,1185,1189,1946,19818,2025-04-01 15:00:00,White berries,239
1743523200,1204,1189,9825,29416,2025-04-01 16:00:00,White berries,239
1743526800,1197,1184,46431,28941,2025-04-01 17:00:00,White berries,239
1743530400,1193,1201,7359,23693,2025-04-01 18:00:00,White berries,239
1743534000,1205,1183,25837,11580,2025-04-01 19:00:00,White berries,239
1743537600,1224,1180,22825,18314,2025-04-01 20:00:00,White berries,239
1743541200,1228,1189,5745,19628,2025-04-01 21:00:00,White berries,239
1743544800,1217,1201,9294,37792,2025-04-01 22:00:00,White berries,239
1743548400,1231,1213,16515,22834,2025-04-01 23:00:00,White berries,239
1743552000,1264,1227,20629,22405,2025-04-02 00:00:00,White berries,239
1743555600,1264,1238,20204,30442,2025-04-02 01:00:00,White berries,239
1743559200,1251,1239,2334,19481,2025-04-02 02:00:00,White berries,239
1743562800,1282,1289,3907,33375,2025-04-02 03:00:00,White berries,239
1743566400,1379,1279,7092,17872,2025-04-02 04:00:00,White berries,239
1743570000,1276,1277,13937,17515,2025-04-02 05:00:00,White berries,239
1743573600,1257,1245,11595,16926,2025-04-02 06:00:00,White berries,239
1743577200,1263,1256,9227,24299,2025-04-02 07:00:00,White berries,239
1743580800,1255,1213,12624,10402,2025-04-02 08:00:00,White berries,239
1743584400,1292,1257,428,29981,2025-04-02 09:00:00,White berries,239
1743588000,1325,1299,2606,7403,2025-04-02 10:00:00,White berries,239
1743591600,1275,1238,10779,58913,2025-04-02 11:00:00,White berries,239
1743595200,1269,1221,176,7907,2025-04-02 12:00:00,White berries,239
1743598800,1236,1218,12890,26891,2025-04-02 13:00:00,White berries,239
1743602400,1301,1276,4411,12293,2025-04-02 14:00:00,White berries,239
1743606000,1247,1233,4998,30208,2025-04-02 15:00:00,White berries,239
1743609600,1258,1210,14294,63656,2025-04-02 16:00:00,White berries,239
1743613200,1272,1260,2439,25501,2025-04-02 17:00:00,White berries,239
1743616800,1281,1244,16666,17745,2025-04-02 18:00:00,White berries,239
1743620400,1232,1211,18086,26565,2025-04-02 19:00:00,White berries,239
1743624000,1227,1208,6420,13667,2025-04-02 20:00:00,White berries,239
1743627600,1206,1183,8082,36112,2025-04-02 21:00:00,White berries,239
1743631200,1215,1197,11846,48233,2025-04-02 22:00:00,White berries,239
1743634800,1232,1191,19186,23060,2025-04-02 23:00:00,White berries,239
1743638400,1291,1218,14924,72437,2025-04-03 00:00:00,White berries,239
1743642000,1225,1219,42116,14450,2025-04-03 01:00:00,White berries,239
1743645600,1278,1223,14982,29692,2025-04-03 02:00:00,White berries,239
1743649200,1277,1238,40913,61673,2025-04-03 03:00:00,White berries,239
1743652800,1282,1254,13625,21312,2025-04-03 04:00:00,White berries,239
1743656400,1305,1238,23605,23546,2025-04-03 05:00:00,White berries,239
1743660000,1325,1278,17475,29189,2025-04-03 06:00:00,White berries,239
1743663600,1308,1234,3456,56207,2025-04-03 07:00:00,White berries,239
1743667200,1247,1230,1307,24039,2025-04-03 08:00:00,White berries,239
1743670800,1331,1244,8352,7651,2025-04-03 09:00:00,White berries,239
1743674400,1316,1243,11154,7640,2025-04-03 10:00:00,White berries,239
1743678000,1239,1224,1991,11625,2025-04-03 11:00:00,White berries,239
1743681600,1227,1221,9882,16653,2025-04-03 12:00:00,White berries,239
1743685200,1244,1228,2726,18362,2025-04-03 13:00:00,White berries,239
1743688800,1241,1226,9735,22442,2025-04-03 14:00:00,White berries,239
1743692400,1305,1247,9172,17749,2025-04-03 15:00:00,White berries,239
1743696000,1270,1235,9097,17324,2025-04-03 16:00:00,White berries,239
1743699600,1251,1222,12578,6892,2025-04-03 17:00:00,White berries,239
1743703200,1228,1221,9384,16269,2025-04-03 18:00:00,White berries,239
1743706800,1254,1231,24424,19490,2025-04-03 19:00:00,White berries,239
1743710400,1237,1226,11577,28669,2025-04-03 20:00:00,White berries,239
1743714000,1237,1225,16084,30387,2025-04-03 21:00:00,White berries,239
1743717600,1236,1219,18397,18646,2025-04-03 22:00:00,White berries,239
1743721200,1234,1218,11212,14781,2025-04-03 23:00:00,White berries,239
1743724800,1223,1215,4184,30939,2025-04-04 00:00:00,White berries,239
1743728400,1236,1215,3765,25931,2025-04-04 01:00:00,White berries,239
1743732000,1233,1206,9994,13492,2025-04-04 02:00:00,White berries,239
1743735600,1235,1213,38267,27363,2025-04-04 03:00:00,White berries,239
1743739200,1223,1195,23393,9512,2025-04-04 04:00:00,White berries,239
1743742800,1224,1192,5254,11408,2025-04-04 05:00:00,White berries,239
1743746400,1200,1191,1101,10238,2025-04-04 06:00:00,White berries,239
1743750000,1221,1189,12147,8579,2025-04-04 07:00:00,White berries,239
1743753600,1213,1184,2284,8003,2025-04-04 08:00:00,White berries,239
1743757200,1206,1184,6413,11499,2025-04-04 09:00:00,White berries,239
1743760800,1175,1181,266,6622,2025-04-04 10:00:00,White berries,239
1743764400,1177,1131,1939,1302,2025-04-04 11:00:00,White berries,239
1743768000,1164,1171,780,3645,2025-04-04 12:00:00,White berries,239
1743771600,1217,1187,4846,10063,2025-04-04 13:00:00,White berries,239
1743775200,1233,1208,6161,18347,2025-04-04 14:00:00,White berries,239
1743778800,1222,1217,9859,15288,2025-04-04 15:00:00,White berries,239
1743782400,1221,1190,7275,7285,2025-04-04 16:00:00,White berries,239
1743786000,1217,1215,17549,33282,2025-04-04 17:00:00,White berries,239
1743789600,1218,1189,11590,10986,2025-04-04 18:00:00,White berries,239
1743793200,1212,1191,27990,10342,2025-04-04 19:00:00,White berries,239
1743796800,1218,1191,11167,18570,2025-04-04 20:00:00,White berries,239
1743800400,1235,1213,16590,19249,2025-04-04 21:00:00,White berries,239
1743804000,1216,1185,5212,11203,2025-04-04 22:00:00,White berries,239
1743807600,1216,1204,13091,16670,2025-04-04 23:00:00,White berries,239
1743811200,1218,1202,12946,14671,2025-04-05 00:00:00,White berries,239
1743814800,1217,1185,18683,8377,2025-04-05 01:00:00,White berries,239
1743818400,1172,1122,11871,16504,2025-04-05 02:00:00,White berries,239
1743822000,1170,1159,9384,22623,2025-04-05 03:00:00,White berries,239
1743825600,1197,1187,9923,9090,2025-04-05 04:00:00,White berries,239
1743829200,1215,1205,5662,13226,2025-04-05 05:00:00,White berries,239
1743832800,1211,1128,14179,7998,2025-04-05 06:00:00,White berries,239
1743836400,1180,1135,4078,2739,2025-04-05 07:00:00,White berries,239
1743840000,1155,1137,2727,9200,2025-04-05 08:00:00,White berries,239
1743843600,1135,1122,1463,3901,2025-04-05 09:00:00,White berries,239
1743847200,1196,1128,9816,9532,2025-04-05 10:00:00,White berries,239
1743850800,1159,1129,7449,11152,2025-04-05 11:00:00,White berries,239
1743854400,1153,1134,3589,10461,2025-04-05 12:00:00,White berries,239
1743858000,1144,1138,9910,17361,2025-04-05 13:00:00,White berries,239
1743861600,1160,1147,15691,12257,2025-04-05 14:00:00,White berries,239
1743865200,1137,1124,3358,36385,2025-04-05 15:00:00,White berries,239
1743868800,1168,1147,10807,19536,2025-04-05 16:00:00,White berries,239
1743872400,1092,1061,7244,10360,2025-04-05 17:00:00,White berries,239
1743876000,1116,1031,26804,34149,2025-04-05 18:00:00,White berries,239
1743879600,1080,1055,16562,19709,2025-04-05 19:00:00,White berries,239
1743883200,1193,1171,9603,17700,2025-04-05 20:00:00,White berries,239
1743886800,1140,1100,6307,18506,2025-04-05 21:00:00,White berries,239
1743890400,1157,1050,14766,11935,2025-04-05 22:00:00,White berries,239
1743894000,1108,1063,36507,30759,2025-04-05 23:00:00,White berries,239
1743897600,1163,1143,3710,14730,2025-04-06 00:00:00,White berries,239
1743901200,1131,1102,12660,13672,2025-04-06 01:00:00,White berries,239
1743904800,1148,1102,47301,18476,2025-04-06 02:00:00,White berries,239
1743908400,1158,1092,12279,18496,2025-04-06 03:00:00,White berries,239
1743912000,1189,1173,4666,9281,2025-04-06 04:00:00,White berries,239
1743915600,1184,1137,10937,14232,2025-04-06 05:00:00,White berries,239
1743919200,1149,1117,12809,6521,2025-04-06 06:00:00,White berries,239
1743922800,1135,1117,4931,10944,2025-04-06 07:00:00,White berries,239
1743926400,1107,1098,3888,10034,2025-04-06 08:00:00,White berries,239
1743930000,1078,1055,7186,29426,2025-04-06 09:00:00,White berries,239
1743933600,1081,1060,4067,12258,2025-04-06 10:00:00,White berries,239
1743937200,1071,1055,6327,6062,2025-04-06 11:00:00,White berries,239
1743940800,1114,1051,3759,5268,2025-04-06 12:00:00,White berries,239
1743944400,1072,1050,3467,28160,2025-04-06 13:00:00,White berries,239
1743948000,1067,1045,5059,12972,2025-04-06 14:00:00,White berries,239
1743951600,1071,1055,6700,27037,2025-04-06 15:00:00,White berries,239
1743955200,1079,1050,19525,26158,2025-04-06 16:00:00,White berries,239
1743958800,1101,1088,13778,26315,2025-04-06 17:00:00,White berries,239
1743962400,1119,1105,13210,21860,2025-04-06 18:00:00,White berries,239
1743966000,1130,1109,14575,33169,2025-04-06 19:00:00,White berries,239
1743969600,1112,1095,9134,35302,2025-04-06 20:00:00,White berries,239
1743973200,1112,1073,13195,14197,2025-04-06 21:00:00,White berries,239
1743976800,1101,1069,9869,11979,2025-04-06 22:00:00,White berries,239
1743980400,1089,1070,16512,17337,2025-04-06 23:00:00,White berries,239
1743984000,1108,1077,7619,23937,2025-04-07 00:00:00,White berries,239
1743987600,1122,1068,10782,15136,2025-04-07 01:00:00,White berries,239
1743991200,1112,1096,17595,20671,2025-04-07 02:00:00,White berries,239
1743994800,1102,1103,5861,15815,2025-04-07 03:00:00,White berries,239
1743998400,1085,1074,5955,7718,2025-04-07 04:00:00,White berries,239
1744002000,1097,1067,16656,10146,2025-04-07 05:00:00,White berries,239
1744005600,1079,1081,5913,12938,2025-04-07 06:00:00,White berries,239
1744009200,1127,1107,10411,18084,2025-04-07 07:00:00,White berries,239
1744012800,1104,1086,4206,8258,2025-04-07 08:00:00,White berries,239
1744016400,1098,1091,3648,8325,2025-04-07 09:00:00,White berries,239
1744020000,1105,1096,7294,9600,2025-04-07 10:00:00,White berries,239
1744023600,1105,1086,15609,7062,2025-04-07 11:00:00,White berries,239
1744027200,1103,1092,6128,5759,2025-04-07 12:00:00,White berries,239
1744030800,1113,1094,15113,12079,2025-04-07 13:00:00,White berries,239
1744034400,1111,1093,8528,9353,2025-04-07 14:00:00,White berries,239
1744038000,1111,1121,2418,31353,2025-04-07 15:00:00,White berries,239
1744041600,1100,1091,10818,10795,2025-04-07 16:00:00,White berries,239
1744045200,1113,1079,26944,12034,2025-04-07 17:00:00,White berries,239
1744048800,1094,1071,10755,28513,2025-04-07 18:00:00,White berries,239
1744052400,1097,1068,18491,10522,2025-04-07 19:00:00,White berries,239
1744056000,1100,1094,16493,22342,2025-04-07 20:00:00,White berries,239
1744059600,1104,1088,8166,19182,2025-04-07 21:00:00,White berries,239
1744063200,1105,1095,13739,16790,2025-04-07 22:00:00,White berries,239
1744066800,1129,1090,14831,10439,2025-04-07 23:00:00,White berries,239
1744070400,1105,1104,8381,10256,2025-04-08 00:00:00,White berries,239
1744074000,1172,1138,30639,19911,2025-04-08 01:00:00,White berries,239
1744077600,1152,1126,17765,12999,2025-04-08 02:00:00,White berries,239
1744081200,1149,1129,26821,16935,2025-04-08 03:00:00,White berries,239
1744084800,1126,1137,4082,17322,2025-04-08 04:00:00,White berries,239
1744088400,1196,1162,8829,11399,2025-04-08 05:00:00,White berries,239
1744092000,1219,1199,10372,40923,2025-04-08 06:00:00,White berries,239
1744095600,1218,1200,5915,8608,2025-04-08 07:00:00,White berries,239
1744099200,1205,1205,6457,12908,2025-04-08 08:00:00,White berries,239
1744102800,1203,1195,24,35761,2025-04-08 09:00:00,White berries,239
1744106400,1205,1206,4234,20397,2025-04-08 10:00:00,White berries,239
1744110000,1220,1207,13503,38781,2025-04-08 11:00:00,White berries,239
1744113600,1210,1210,15969,26067,2025-04-08 12:00:00,White berries,239
1744117200,1250,1220,18349,26853,2025-04-08 13:00:00,White berries,239
1744120800,1212,1158,9538,14178,2025-04-08 14:00:00,White berries,239
1744124400,1194,1203,8825,32169,2025-04-08 15:00:00,White berries,239
1744128000,1217,1190,2315,20597,2025-04-08 16:00:00,White berries,239
1744131600,1194,1153,7699,20889,2025-04-08 17:00:00,White berries,239
1744135200,1168,1123,7894,16583,2025-04-08 18:00:00,White berries,239
1744138800,1144,1131,3720,33086,2025-04-08 19:00:00,White berries,239
1744142400,1144,1148,10395,30149,2025-04-08 20:00:00,White berries,239
1744146000,1243,1244,1867,17090,2025-04-08 21:00:00,White berries,239
1744149600,1247,1246,11438,14372,2025-04-08 22:00:00,White berries,239
1744153200,1242,1165,18360,33718,2025-04-08 23:00:00,White berries,239
1744156800,1287,1206,31842,20556,2025-04-09 00:00:00,White berries,239
1744160400,1349,1228,13890,22283,2025-04-09 01:00:00,White berries,239
